losses/clipfrac,losses/old_approx_kl,_runtime,losses/value_loss,charts/learning_rate,_timestamp,losses/approx_kl,charts/episodic_length,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,_step,charts/SPS,global_step
0.0,-0.01072220504283905,224.4649519920349,0.0002954025403596461,0.0002239631285192445,1763260280.724998,0.0018737446516752243,,0.5224502086639404,,-0.0049900393933057785,-0.16726994514465332,1525,643.0,126848
0.0,-0.003910773433744907,224.65998888015747,379.0380554199219,0.00022388632351066917,1763260280.920035,0.0006596604362130165,,0.5072557926177979,,0.005026303231716156,2.944469451904297e-05,1527,643.0,126976
0.0,0.008813581429421902,224.99515581130981,0.0007609239546582103,0.00022373271349351853,1763260281.2552018,8.859578520059586e-05,,0.519223153591156,,-0.0026767849922180176,-0.04809296131134033,1529,643.0,127232
0.005859375,-0.010805449448525906,225.71263670921326,0.00010227604798274115,0.00022342549345921725,1763260281.9726827,0.0015271799638867378,,0.5604340434074402,,-0.01317504607141018,-0.37221240997314453,1534,644.0,127744
0.0,0.00417727418243885,225.9158639907837,882.6542358398438,0.00022334868845064193,1763260282.17591,0.00024782493710517883,,0.5538076162338257,,0.0017061010003089905,-1.049041748046875e-05,1536,644.0,127872
0.0,0.013577614910900593,226.90482330322266,0.000660462595988065,0.00022288785839919,1763260283.1648693,0.0020774835720658302,,0.507605254650116,,-0.01881079003214836,-0.15842950344085693,1543,644.0,128640
,,227.14276576042175,,,1763260283.4028118,,500.0,,500.0,,,1545,,128862
0.0,-0.0005870070308446884,227.25962042808533,727.10302734375,0.00022273424838203937,1763260283.5196664,0.0001484602689743042,,0.4084649085998535,,-0.0003444105386734009,0.00042313337326049805,1546,644.0,128896
0.0078125,0.01193156000226736,228.50306129455566,0.0005522801075130701,0.0002219662128482014,1763260284.7631073,0.003046339377760887,,0.447854608297348,,-0.028243891894817352,0.014983594417572021,1558,647.0,130176
0.015625,0.010294693522155285,228.63243889808655,0.0006958600715734065,0.00022188940783962607,1763260284.892485,0.002784823067486286,,0.4086945652961731,,0.001968126744031906,-0.15726101398468018,1559,647.0,130304
0.0,-0.002478410489857197,228.98561835289001,0.0011170291109010577,0.0002216589928139001,1763260285.2456644,0.00044056493788957596,,0.4394818842411041,,-0.002621118910610676,-0.16772770881652832,1563,648.0,130688
0.0,0.0012293299660086632,229.2554063796997,515.947021484375,0.00022150538279674947,1763260285.5154524,6.027240306138992e-05,,0.5230825543403625,,0.0029359161853790283,-1.9788742065429688e-05,1566,648.0,130944
0.0,0.008135884068906307,231.41143345832825,0.00022279564291238785,0.0002201228926423937,1763260287.6714795,0.0014397045597434044,,0.44517776370048523,,0.002309657633304596,-0.004899144172668457,1588,653.0,133248
,,231.451988697052,,,1763260287.7120347,,500.0,,500.0,,,1589,,133362
0.00390625,0.004076785407960415,232.26188588142395,0.0006666132831014693,0.00021958525758236647,1763260288.521932,0.001619492657482624,,0.5064302086830139,,-0.00032485276460647583,-0.09202659130096436,1597,654.0,134144
0.0,0.015505097806453705,233.21637511253357,0.000597919977735728,0.0002189708175137639,1763260289.476421,0.0011481773108243942,,0.5767145156860352,,-0.010015442967414856,-0.07447671890258789,1607,656.0,135168
,,233.37140417099,,,1763260289.6314502,,500.0,,500.0,,,1609,,135362
0.0,0.0034024780616164207,233.4661259651184,445.59130859375,0.00021881720749661326,1763260289.726172,0.00038695987313985825,,0.5305860042572021,,-0.011082075536251068,-8.428096771240234e-05,1610,657.0,135424
0.013671875,-0.00034489575773477554,233.7021632194519,0.0004686029569711536,0.00021866359747946262,1763260289.9622092,0.0062086088582873344,,0.49108874797821045,,-0.0345233753323555,0.1673140525817871,1612,657.0,135680
0.0,-0.0025516068562865257,235.5210726261139,0.007385166361927986,0.0002178187423851341,1763260291.7811186,0.0003965413197875023,,0.5348498821258545,,0.005018278956413269,-0.04329681396484375,1626,658.0,137088
,,237.21010279655457,,,1763260293.4701488,,500.0,,500.0,,,1638,,138362
0.00390625,0.014818273484706879,244.28503727912903,0.0002502576680853963,0.0002140552969649434,1763260300.5450833,0.0059778690338134766,,0.5098111033439636,,-0.014792166650295258,-0.037917375564575195,1687,661.0,143360
,,249.14831256866455,,,1763260305.4083586,,500.0,,500.0,,,1732,,147862
0.0,0.013539880514144897,250.50744915008545,0.0002086883323499933,0.00021052226657047868,1763260306.7674952,0.0009275302290916443,,0.5589907169342041,,0.012217490002512932,-0.6768361330032349,1745,668.0,149248
0.0,0.0032059606164693832,251.2020561695099,0.004885736852884293,0.00021006145107094198,1763260307.4621022,0.0002216976135969162,,0.5223883390426636,,0.0033173970878124237,-0.3079723119735718,1753,670.0,150016
0.001953125,0.037820376455783844,251.31735372543335,0.000768385361880064,0.00020998464606236666,1763260307.5773997,0.0019447896629571915,,0.519305944442749,,-0.017656397074460983,-0.0015271902084350586,1754,670.0,150144
0.005859375,0.009872052818536758,252.47574925422668,0.00022319715935736895,0.00020929340098518878,1763260308.7357953,0.0032368525862693787,,0.5541902184486389,,-0.012753073126077652,-0.18169593811035156,1765,672.0,151296
0.0,0.011279157362878323,252.71272373199463,0.005122967064380646,0.00020913979096803814,1763260308.9727697,0.0014401180669665337,,0.5204501152038574,,0.011168092489242554,-0.061545491218566895,1768,672.0,151552
0.0,-0.004839801229536533,253.56351613998413,480.6532897949219,0.0002086021559080109,1763260309.8235621,7.086899131536484e-05,,0.5867663621902466,,0.00011534243822097778,4.351139068603516e-06,1777,674.0,152448
0.0,0.0002595018595457077,257.64700078964233,0.00024800217943266034,0.00020606759062502533,1763260313.9070468,0.00020510703325271606,,0.4954010248184204,,-4.8430636525154114e-05,0.14662718772888184,1818,680.0,156672
0.0,-0.008327322080731392,258.1782670021057,0.0009362234850414097,0.00020576037059072405,1763260314.438313,0.0003642793744802475,,0.5193821787834167,,1.1727213859558105e-05,0.02961575984954834,1823,681.0,157184
0.0,0.0007898146286606789,261.0027406215668,0.003132766345515847,0.000204070660402067,1763260317.2627866,6.597768515348434e-05,,0.4690290093421936,,-0.004455583170056343,0.16857880353927612,1851,684.0,160000
0.0,0.002652343362569809,261.64923620224,0.005528416484594345,0.00020376344036776572,1763260317.9092822,0.00043673254549503326,,0.4372905194759369,,0.001070994883775711,-2.376908302307129,1856,685.0,160512
0.0078125,0.01905220001935959,263.37641954421997,0.0003058283473365009,0.00020299539028201252,1763260319.6364655,0.002703845500946045,,0.40286576747894287,,-0.01947837322950363,0.45892632007598877,1868,685.0,161792
0.0,0.01107560470700264,264.04417157173157,0.00023240738664753735,0.00020268817024771124,1763260320.3042176,0.001928449608385563,,0.42445439100265503,,0.0010067112743854523,0.0831536054611206,1873,685.0,162304
0.005859375,-0.011236640624701977,264.57320404052734,0.0007867623935453594,0.00020245775522198528,1763260320.83325,0.0026380838826298714,,0.4138270318508148,,-0.011456778272986412,-0.18610572814941406,1877,685.0,162688
0.0,-0.015016184188425541,265.55956864356995,0.004274897277355194,0.00020192012016195804,1763260321.8196146,0.0013504168018698692,,0.5244044661521912,,-0.0005403310060501099,-0.07095575332641602,1886,686.0,163584
0.0,-0.000332697294652462,266.81752157211304,486.7071228027344,0.0002013824851019308,1763260323.0775676,8.68653878569603e-05,,0.5482170581817627,,-0.0023647546768188477,-1.4781951904296875e-05,1895,687.0,164480
,,267.9023058414459,,,1763260324.1623518,,500.0,,500.0,,,1903,,165362
0.029296875,0.011937202885746956,268.37706232070923,0.0006737236399203539,0.00020069124002475291,1763260324.6371083,0.007706364616751671,,0.5140291452407837,,-0.004314430058002472,-0.002581477165222168,1906,687.0,165632
,,269.99949622154236,,,1763260326.2595422,,500.0,,500.0,,,1918,,166862
0.0,0.003973226994276047,270.23521423339844,0.005966434720903635,0.0001998463849304244,1763260326.4952602,0.0003158934414386749,,0.5595470666885376,,0.0013644695281982422,0.01840031147003174,1920,687.0,167040
0.001953125,-0.008297691121697426,273.16636514663696,0.004376505967229605,0.000198310284758918,1763260329.4264112,0.0023611895740032196,,0.5240287780761719,,-0.007219299674034119,-0.08426368236541748,1945,690.0,169600
0.0,0.003826463595032692,274.95702290534973,0.005584453232586384,0.0001974654442165047,1763260331.217069,0.000833829864859581,,0.5411691665649414,,0.003238856792449951,0.14439493417739868,1959,690.0,171008
0.0,-0.004458135925233364,276.6629259586334,539.9144287109375,0.00019662058912217617,1763260332.922972,0.0005368450656533241,,0.6080353856086731,,0.003283455967903137,3.9577484130859375e-05,1973,691.0,172416
0.0,-0.00340378750115633,277.8606655597687,0.0005065414006821811,0.00019585253903642297,1763260334.1207116,0.0015350272879004478,,0.5669440627098083,,-0.011117812246084213,-0.13967859745025635,1985,693.0,173696
0.0,0.0007305340841412544,278.48263716697693,0.0005247695953585207,0.00019546851399354637,1763260334.7426832,0.00023085158318281174,,0.5643101334571838,,0.0020106397569179535,-0.37468111515045166,1991,694.0,174336
,,279.45591831207275,,,1763260335.7159643,,500.0,,500.0,,,2002,,175362
0.0,0.0014803716912865639,279.91679191589355,938.595947265625,0.00019454685389064252,1763260336.176838,1.096818596124649e-05,,0.5476464033126831,,-0.000593237578868866,-7.426738739013672e-05,2007,696.0,175872
0.0,-0.003768879920244217,280.7807762622833,539.9775390625,0.00019400921883061528,1763260337.0408223,0.0001253560185432434,,0.5198980569839478,,0.003149239346385002,-0.00042188167572021484,2016,697.0,176768
0.0,-0.007618635892868042,281.1737973690033,0.0001789935486158356,0.00019377880380488932,1763260337.4338434,0.00047600269317626953,,0.49274685978889465,,2.339109778404236e-05,0.20930415391921997,2019,698.0,177152
0.001953125,0.007428384386003017,281.653635263443,0.00026802890351973474,0.00019347158377058804,1763260337.9136813,0.002190020866692066,,0.5943741798400879,,-0.027330446988344193,-0.06349074840545654,2024,698.0,177664
0.0,-0.00010249204933643341,281.8919732570648,0.0060434197075665,0.0001933179737534374,1763260338.1520193,5.2288174629211426e-05,,0.5285344123840332,,0.0023342370986938477,-0.7786799669265747,2027,699.0,177920
0.021484375,0.0012390734627842903,282.1312463283539,0.0004732650413643569,0.00019316436373628676,1763260338.3912923,0.006940937601029873,,0.5631930232048035,,0.0010385215282440186,-0.8345823287963867,2029,699.0,178176
0.0,0.022272225469350815,282.54739212989807,805.0108642578125,0.0001929339487105608,1763260338.8074381,0.0015972107648849487,,0.4950225055217743,,-0.008994143456220627,0.0009431242942810059,2034,699.0,178560
0.001953125,0.010145733132958412,283.8185727596283,0.007322767283767462,0.00019224270363338292,1763260340.0786188,0.0028777066618204117,,0.5297657251358032,,-0.01940019428730011,0.011416792869567871,2045,700.0,179712
0.0,0.0008046170696616173,284.5825865268707,0.002149356296285987,0.00019185867859050632,1763260340.8426325,0.0012849913910031319,,0.5374840497970581,,0.0024744048714637756,-0.020126819610595703,2051,701.0,180352
0.0,0.038715291768312454,284.72002625465393,0.0004236997338011861,0.000191781873581931,1763260340.9800723,0.0036165034398436546,,0.5451076626777649,,-0.018870191648602486,-0.58209228515625,2052,701.0,180480
0.0,-0.006642419844865799,286.8920359611511,0.0041289604268968105,0.0001907066034618765,1763260343.152082,0.0009199697524309158,,0.5167528986930847,,0.0032181069254875183,-0.12498033046722412,2070,702.0,182272
0.005859375,0.011366285383701324,287.6541759967804,0.0007089267601259053,0.0001903225784189999,1763260343.914222,0.005302904173731804,,0.49770450592041016,,-0.019619597122073174,0.03771573305130005,2076,702.0,182912
0.0,0.005504941567778587,289.8319368362427,561.0732421875,0.00018932411330752075,1763260346.0919828,0.00032467953860759735,,0.5140041708946228,,-0.00499366782605648,-1.4424324035644531e-05,2093,703.0,184576
0.0,-0.016000904142856598,289.9938495159149,0.006001963280141354,0.00018924730829894543,1763260346.2538955,0.0008702529594302177,,0.6134315133094788,,-0.006745852530002594,-0.09722244739532471,2094,703.0,184704
,,292.35869431495667,,,1763260348.6187403,,500.0,,500.0,,,2117,,187042
,,294.65437364578247,,,1763260350.9144197,,500.0,,500.0,,,2141,,189542
,,295.16200971603394,,,1763260351.4220557,,500.0,,500.0,,,2146,,190042
