global_step,losses/approx_kl,_step,charts/SPS,losses/value_loss,_timestamp,losses/entropy,losses/old_approx_kl,charts/episodic_return,losses/policy_loss,charts/episodic_length,charts/learning_rate,_runtime,losses/explained_variance,losses/clipfrac
94848,0.0002092551440000534,2070,1010.0,1.0343319445382804e-07,1763260111.9779756,0.23723387718200684,-0.003920098766684532,,0.005055218935012817,,0.00024316436611115932,100.96196365356445,0.9448278546333313,0.111328125
95488,0.007279094308614731,2076,1011.0,2.0438023057067767e-05,1763260112.5404327,0.29024678468704224,0.006941143423318863,,-0.0024815015494823456,,0.00024278034106828272,101.52442073822021,0.8938629627227783,0.044921875
97152,0.00042081810534000397,2093,1012.0,0.0026610703207552433,1763260114.1375566,0.10037248581647873,-0.006146999076008797,,-0.0011184588074684143,,0.00024178187595680356,103.12154459953308,-7.271766662597656e-05,0.017578125
97280,0.007800363004207611,2094,1012.0,0.0004079304344486445,1763260114.2488394,0.13231372833251953,0.011855045333504677,,0.004105791449546814,,0.00024170507094822824,103.23282742500305,0.9791531562805176,0.046875
99584,0.009450291283428669,2117,1014.0,0.00117225362919271,1763260116.3518019,0.1692635416984558,0.058521926403045654,,-0.012168243527412415,,0.00024032258079387248,105.33578991889954,-2.3365020751953125e-05,0.03125
102564,,2146,,,1763260118.9668956,,,500.0,,500.0,,107.95088362693787,,
102784,0.002252599224448204,2148,1017.0,0.00011605212785070762,1763260119.1782665,0.16747519373893738,-0.003817785531282425,,0.0036467015743255615,,0.00023840245557948947,108.16225457191467,0.984229326248169,0.017578125
103552,0.03503774106502533,2155,1018.0,9.96221206150949e-06,1763260119.8670056,0.22811749577522278,0.022542938590049744,,-0.04373819753527641,,0.00023794162552803755,108.85099363327026,0.9269717931747437,0.1640625
105344,0.003886784426867962,2172,1019.0,2.8759177439496852e-06,1763260121.5322328,0.28534623980522156,-0.0029344772920012474,,0.01734977588057518,,0.00023686635540798306,110.51622080802917,0.9785991907119751,0.0078125
106624,0.014590145088732243,2185,1020.0,0.0018004440935328603,1763260122.6835225,0.1534145027399063,0.04239599034190178,,-0.003185838460922241,,0.00023609830532222986,111.66751050949097,-0.00010836124420166016,0.05859375
107392,0.0008255988359451294,2192,1021.0,1.2105374480597675e-09,1763260123.3236995,0.1982862800359726,-0.017505940049886703,,0.007988052442669868,,0.00023563747527077794,112.30768752098083,0.9613680839538574,0.03125
108064,,2199,,,1763260123.937279,,,500.0,,500.0,,112.92126703262329,,
109312,0.00167909637093544,2211,1022.0,7.541959348600358e-05,1763260125.0814636,0.14422574639320374,0.0063187554478645325,,-0.017268136143684387,,0.00023448540014214814,114.06545162200928,0.985785961151123,0.0078125
109568,0.0023968424648046494,2214,1022.0,0.0019938512705266476,1763260125.3088863,0.1075790673494339,0.02028924599289894,,-0.009093903005123138,,0.0002343317901249975,114.29287433624268,-8.58306884765625e-06,0.0234375
