losses/entropy,global_step,losses/clipfrac,charts/learning_rate,_runtime,losses/value_loss,_step,_timestamp,losses/old_approx_kl,losses/explained_variance,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/policy_loss,charts/SPS
0.23319697380065918,69760,0.029296875,0.00025821811868809164,70.49264216423035,0.013029832392930984,1597,1763260081.168765,-0.034836117178201675,-2.5033950805664062e-06,,0.009248779155313969,,0.030250784009695053,1034.0
0.2394026815891266,70784,0.015625,0.0002576036786194891,71.42584753036499,0.011489388532936573,1607,1763260082.1019704,-0.005851995199918747,-3.325939178466797e-05,,0.0018257591873407364,,0.007128063589334488,1035.0
0.29375743865966797,71040,0.05078125,0.00025745006860233843,71.6508858203888,0.004612157121300697,1609,1763260082.3270087,-0.0015774881467223167,0.7584614753723145,,0.014387293718755245,,0.007138218730688095,1035.0
0.3151405155658722,71168,0.015625,0.0002573732635937631,71.76050734519958,0.002104600891470909,1610,1763260082.4366302,0.030084088444709778,0.22818750143051147,,0.00812380202114582,,0.004834845662117004,1036.0
0.12919797003269196,73984,0.01171875,0.00025568355340510607,74.28133654594421,0.0025230091996490955,1638,1763260084.9574594,0.005737060680985451,0.7773160934448242,,0.0010839439928531647,,-0.017682433128356934,1038.0
0.10183476656675339,78976,0.0,0.0002526881580706686,78.82995080947876,0.001856246031820774,1687,1763260089.5060737,-0.002602390944957733,0.7995919585227966,,0.0001321844756603241,,-0.0015515051782131195,1042.0
0.2347659319639206,83584,0.0390625,0.0002499232068657875,83.18565654754639,0.00020732483244501054,1732,1763260093.8617795,0.006387466564774513,0.7864502668380737,,0.00040027499198913574,,-0.010403096675872803,1043.0
0.1859431117773056,84864,0.005859375,0.0002491551567800343,84.43570923805237,0.000915218610316515,1745,1763260095.1118321,0.0006596241146326065,0.9532511234283447,,0.0001230277121067047,,-0.0015953360125422478,1043.0
,85727,,,85.17368412017822,,1753,1763260095.849807,,,500.0,,500.0,,
0.13325956463813782,85760,0.05078125,0.00024861752172000706,85.28100919723511,0.006173313595354557,1754,1763260095.957132,0.006674556061625481,-3.0875205993652344e-05,,0.000733865424990654,,-0.010804623365402222,1043.0
0.15526467561721802,86912,0.001953125,0.0002479262766428292,86.35958909988403,0.0027793392073363066,1765,1763260097.035712,-0.005566762760281563,0.7590893507003784,,0.0005016010254621506,,0.0072001004591584206,1043.0
,87227,,,86.61012673377991,,1768,1763260097.2862496,,,500.0,,500.0,,
0.19842742383480072,88192,0.033203125,0.000247158226557076,87.56124639511108,0.0009085680358111858,1777,1763260098.2373693,0.009892066940665245,0.8365018367767334,,0.004931390285491943,,-0.016181670129299164,1043.0
0.18587762117385864,92288,0.001953125,0.00024470046628266573,91.30093502998352,0.005674094893038273,1818,1763260101.977058,0.0030606742948293686,-3.325939178466797e-05,,0.0024329740554094315,,-0.012520305812358856,1046.0
0.10721743106842041,92800,0.046875,0.00024439324624836445,91.77558016777039,0.006836044602096081,1823,1763260102.451703,0.012509526684880257,-3.838539123535156e-05,,0.006103808060288429,,-0.005372133105993271,1046.0
,95727,,,94.33104157447815,,1851,1763260105.0071645,,,500.0,,500.0,,
0.14087051153182983,97408,0.068359375,0.00024162826593965292,95.941477060318,0.00016616060747765005,1868,1763260106.6176,0.024179549887776375,0.746185302734375,,0.009400623850524426,,-0.01854054629802704,1048.0
0.18684186041355133,97920,0.00390625,0.00024132104590535164,96.38679194450378,0.0013573101023212075,1873,1763260107.0629148,0.003052426502108574,0.38895779848098755,,0.0012054648250341415,,-0.007134557701647282,1049.0
0.18676836788654327,98304,0.041015625,0.00024109063087962568,96.75402855873108,132.3135223388672,1877,1763260107.4301515,-0.0024458765983581543,-2.6226043701171875e-06,,0.011898944154381752,,0.023914117366075516,1049.0
,99227,,,97.53357410430908,,1886,1763260108.209697,,,500.0,,500.0,,
0.1336880326271057,100992,0.01953125,0.00023947772569954395,99.15617513656616,2.7228394174017012e-05,1903,1763260109.832298,0.015451062470674515,0.5288981199264526,,0.006379231810569763,,-0.00787971168756485,1051.0
0.16477929055690765,101248,0.07421875,0.0002393241156823933,99.38078618049622,0.003637234214693308,1906,1763260110.056909,0.08108842372894287,5.602836608886719e-06,,0.025774462148547173,,-0.037205666303634644,1051.0
0.18566888570785522,102528,0.0390625,0.0002385560655966401,100.58620524406433,7.039139745756984e-05,1918,1763260111.2623281,0.010617237538099289,-0.3064779043197632,,0.001870112493634224,,-0.009981915354728699,1051.0
,102727,,,100.72180581092834,,1920,1763260111.3979287,,,500.0,,500.0,,
,105227,,,103.01171231269836,,1945,1763260113.6878352,,,500.0,,500.0,,
,106727,,,104.3447093963623,,1959,1763260115.0208323,,,500.0,,500.0,,
0.1594855636358261,108160,0.109375,0.00023517664521932602,105.68823385238647,7.032331268419512e-06,1973,1763260116.3643568,0.016144048422574997,0.8240824341773987,,0.037541598081588745,,0.04922628402709961,1054.0
0.14775386452674866,109312,0.0078125,0.00023448540014214814,106.732262134552,0.005761015694588423,1985,1763260117.408385,0.005429168231785297,-1.609325408935547e-05,,0.004568072967231274,,0.004676841199398041,1054.0
0.12868036329746246,109952,0.021484375,0.00023410138965118676,107.31106042861938,0.000836184888612479,1991,1763260117.9871833,-0.004732259549200535,0.792521059513092,,0.00014818180352449417,,0.004399304278194904,1054.0
0.15701469779014587,111104,0.0625,0.00023341014457400888,108.35547375679016,8.689465903444216e-05,2002,1763260119.0315967,0.01558523066341877,0.8630383014678955,,0.0036616716533899307,,-0.023914391174912453,1055.0
0.09571492671966553,111616,0.0,0.0002331029245397076,108.81069946289062,7.746485789539292e-05,2007,1763260119.4868224,2.726074308156967e-05,0.7575066685676575,,7.013790309429169e-06,,-8.133798837661743e-05,1055.0
0.11396132409572601,112512,0.052734375,0.00023256528947968036,109.6349606513977,4.2241401388309896e-05,2016,1763260120.3110836,0.03702779859304428,0.5730268955230713,,0.007668036036193371,,-0.033403120934963226,1055.0
0.0723302811384201,113280,0.009765625,0.00023210445942822844,110.30751919746399,0.004943390376865864,2024,1763260120.983642,0.0006726672872900963,3.796815872192383e-05,,0.00011966470628976822,,-0.0015837512910366058,1056.0
0.2217801809310913,113664,0.044921875,0.00023187404440250248,110.67458820343018,9.11862516659312e-05,2027,1763260121.350711,-0.005484200082719326,0.7352405786514282,,0.0015893066301941872,,5.5344775319099426e-05,1056.0
0.19708400964736938,114304,0.001953125,0.00023149001935962588,111.23118829727173,0.0039548249915242195,2034,1763260121.9073112,0.012227702885866165,5.7697296142578125e-05,,0.0014582928270101547,,-0.017222300171852112,1056.0
