losses/old_approx_kl,losses/explained_variance,losses/policy_loss,losses/value_loss,charts/episodic_return,charts/SPS,charts/episodic_length,losses/entropy,_step,global_step,losses/approx_kl,losses/clipfrac,charts/learning_rate,_runtime,_timestamp
,,,,15.0,,15.0,,1609,50294,,,,54.30256652832031,1763260065.3322926
,,,,9.0,,9.0,,1610,50303,,,,54.30787110328674,1763260065.3375971
,,,,15.0,,15.0,,1638,50593,,,,54.67994213104248,1763260065.7096682
,,,,12.0,,12.0,,1687,51147,,,,55.39475226402283,1763260066.4244783
,,,,14.0,,14.0,,1732,51633,,,,55.934279680252075,1763260066.9640057
,,,,16.0,,16.0,,1745,51800,,,,56.13415598869324,1763260067.163882
,,,,13.0,,13.0,,1753,51897,,,,56.35348677635193,1763260067.3832128
,,,,15.0,,15.0,,1754,51912,,,,56.36223793029785,1763260067.391964
,,,,15.0,,15.0,,1768,52091,,,,56.55973935127258,1763260067.5894654
,,,,17.0,,17.0,,1777,52212,,,,56.69619154930115,1763260067.7259176
,,,,17.0,,17.0,,1818,52785,,,,57.32152056694031,1763260068.3512466
-0.0005508866161108017,0.028479933738708496,-0.0050802454352378845,31.014650344848633,,985.0,,0.42846935987472534,1823,52864,0.006536912173032761,0.03515625,0.0002683563798200339,57.51801943778992,1763260068.5477455
,,,,21.0,,21.0,,1851,53336,,,,57.98165702819824,1763260069.011383
,,,,30.0,,30.0,,1868,53693,,,,58.34359359741211,1763260069.3733196
,,,,40.0,,40.0,,1873,53832,,,,58.46969532966614,1763260069.4994214
,,,,22.0,,22.0,,1877,53927,,,,58.66259813308716,1763260069.6923242
-0.027781259268522263,0.9428755640983582,-0.07734008133411407,0.1682662069797516,,984.0,,0.3379342555999756,1886,54272,0.01449048426002264,0.140625,0.0002675115247257054,59.02752089500427,1763260070.057247
-0.017918866127729416,0.7396976351737976,-0.09163893759250641,1.6109498739242554,,986.0,,0.5494409203529358,1903,55296,0.021284885704517365,0.095703125,0.0002668970846571028,59.9423565864563,1763260070.9720826
,,,,166.0,,166.0,,1906,55549,,,,60.10232400894165,1763260071.13205
0.03438630700111389,0.43848782777786255,0.004974730312824249,0.06715423613786697,,988.0,,0.4701294004917145,1918,56448,0.0310487262904644,0.18359375,0.00026620583957992494,61.00996255874634,1763260072.0396886
