losses/old_approx_kl,charts/episodic_length,_step,charts/learning_rate,charts/episodic_return,_timestamp,losses/entropy,losses/explained_variance,losses/policy_loss,_runtime,global_step,losses/approx_kl,losses/value_loss,charts/SPS,losses/clipfrac
-0.00201235618442297,,1589,0.00026973886997438967,,1763260064.7826562,0.4379200339317322,-0.0014792680740356445,-0.006647147238254547,53.84211611747742,50560,0.001651260070502758,180.48739624023438,990.0,0.0
,15.0,1597,,15.0,1763260064.8354483,,,,53.89490818977356,50659,,,,
,19.0,1607,,19.0,1763260064.9749715,,,,54.03443145751953,50805,,,,
,14.0,1609,,14.0,1763260065.0510008,,,,54.11046075820923,50819,,,,
,19.0,1610,,19.0,1763260065.0594022,,,,54.11886215209961,50838,,,,
,13.0,1638,,13.0,1763260065.8485928,,,,54.90805268287659,51691,,,,
-0.004028862342238426,,1687,0.00026843318482860923,,1763260066.9668124,0.3712111711502075,0.007912218570709229,-0.043711256235837936,56.02627229690552,52736,0.04367826133966446,0.05729462578892708,990.0,0.1510416716337204
0.04288826137781143,,1732,0.00026582181453704834,,1763260070.8961003,0.2943931519985199,-0.8813852071762085,-0.03845912218093872,59.95556020736694,57088,0.02362692356109619,0.007557916454970837,998.0,0.12890625
0.024209024384617805,,1745,0.00026505376445129514,,1763260072.0244598,0.2570827007293701,0.03573596477508545,-0.03222043812274933,61.08391976356506,58368,0.008129731751978397,0.012336088344454765,1001.0,0.056640625
0.03250014781951904,,1753,0.0002645929343998432,,1763260072.699503,0.28040236234664917,-0.002859830856323242,-0.035358503460884094,61.758962869644165,59136,0.006579353474080563,0.023712031543254852,1003.0,0.0390625
-0.005895838141441345,,1754,0.0002645161293912679,,1763260072.8370733,0.26385241746902466,-0.7134541273117065,-0.002296358346939087,61.896533250808716,59264,0.0029250960797071457,0.01149905938655138,1002.0,0.00390625
0.03262513130903244,,1768,0.0002636712742969394,,1763260074.0600073,0.16105954349040985,-0.10727822780609131,-0.028613068163394928,63.11946725845337,60672,0.00801994651556015,0.008521897718310356,1005.0,0.05859375
0.004867435432970524,,1777,0.00026313363923691213,,1763260074.8473344,0.3061969578266144,0.11800670623779297,-0.019358374178409576,63.90679430961609,61568,0.0031218966469168663,0.012608518823981285,1007.0,0.0390625
0.010574583895504475,,1818,0.0002606758789625019,,1763260078.5781767,0.23780882358551025,-0.0007619857788085938,0.0017319787293672562,67.63763666152954,65664,0.0008421046659350395,91.98155212402344,1012.0,0.0
0.007535201497375965,,1823,0.0002603686589282006,,1763260079.0253572,0.2760186493396759,0.5155826807022095,-0.016154203563928604,68.0848171710968,66176,0.00039333198219537735,0.0054196082055568695,1013.0,0.0
-0.01380941178649664,,1851,0.00025867894873954356,,1763260081.5158179,0.27016812562942505,-0.0015015602111816406,0.006272166967391968,70.57527780532837,68992,0.0012251799926161766,0.006818385329097509,1017.0,0.0078125
,437.0,1868,,437.0,1763260083.0285854,,,,72.08804535865784,70775,,,,
,465.0,1873,,465.0,1763260083.4947288,,,,72.55418872833252,71240,,,,
-0.006786857731640339,,1877,0.00025706604355946183,,1763260083.9158125,0.3008577227592468,-0.05403542518615723,0.006290659308433533,72.97527241706848,71680,0.0011321669444441795,0.0007923219236545265,1021.0,0.068359375
0.22725559771060944,,1886,0.0002565284084994346,,1763260084.7245317,0.26820099353790283,0.09873467683792114,-0.05934588611125946,73.78399157524109,72576,0.08612961322069168,0.005397501401603222,1022.0,0.1354166716337204
0.0006770547479391098,,1903,0.00025552994338795543,,1763260086.204013,0.17093756794929504,-0.0009332895278930664,0.0005690157413482666,75.26347303390503,74240,0.0008158329874277115,0.005296786781400442,1024.0,0.015625
0.011933794245123863,500.0,1906,0.00025529952836222947,500.0,1763260086.5782056,0.21057552099227905,-3.5643577575683594e-05,-0.01858208328485489,75.63766551017761,74624,0.0022551128640770912,0.007551384624093771,1024.0,0.0546875
0.009982246905565262,,1918,0.00025453147827647626,,1763260087.7310338,0.2068585455417633,-0.41934192180633545,-0.026572123169898987,76.79049372673035,75904,0.003317289985716343,0.00046314983046613634,1025.0,0.078125
,495.0,1920,,495.0,1763260087.8622534,,,,76.92171335220337,76088,,,,
0.02933846041560173,,1945,0.00025291857309639454,,1763260090.3261216,0.2525255084037781,0.16312849521636963,-0.018579252064228058,79.38558149337769,78592,0.0070976559072732925,0.0014323805226013064,1026.0,0.015625
0.02312319725751877,,1959,0.0002520737471058965,,1763260091.7722201,0.1933516412973404,-0.0003376007080078125,0.021504834294319153,80.83168005943298,80000,0.029036037623882294,0.005588343366980553,1025.0,0.078125
0.042744092643260956,,1973,0.00025122889201156795,,1763260093.352843,0.17010712623596191,-0.00045037269592285156,-0.02933928370475769,82.41230297088623,81408,0.007654792629182339,0.0027927241753786802,1022.0,0.03515625
0.002610812894999981,,1985,0.00025046084192581475,,1763260094.7756348,0.1557970941066742,0.17926019430160522,-0.011756006628274918,83.83509469032288,82688,0.0009555397555232048,0.00012011950457235798,1020.0,0.0390625
,467.0,1991,,467.0,1763260095.32488,,,,84.38433980941772,83274,,,,
0.031351469457149506,,2002,0.0002494623768143356,,1763260096.5742116,0.20065000653266907,-0.00037992000579833984,0.00785093940794468,85.6336715221405,84352,0.012923084199428558,125.90827941894531,1018.0,0.05078125
