losses/entropy,losses/value_loss,losses/clipfrac,losses/policy_loss,charts/episodic_return,losses/approx_kl,charts/SPS,charts/learning_rate,losses/explained_variance,_timestamp,charts/episodic_length,global_step,_runtime,losses/old_approx_kl,_step
0.5931193232536316,4.309514999389648,0.0,0.010934479534626007,,0.0005755387246608734,967.0,0.00026282641920261085,0.33605360984802246,1763260095.839208,,62080,67.54862880706787,-0.006047183647751808,941
0.5909481644630432,0.012230289168655872,0.0,0.0003775656223297119,,0.00030935369431972504,967.0,0.00026274961419403553,0.6231952905654907,1763260095.9938693,,62208,67.70329022407532,0.006041023880243301,942
,,,,251.0,,,,,1763260096.5436506,251.0,62742,68.25307154655457,,948
0.5471333265304565,3.6307859420776367,0.0,-0.03442824259400368,,0.000924285501241684,963.0,0.0002612135140225291,0.01778942346572876,1763260098.8934758,,64768,70.60289669036865,-0.0029795262962579727,974
0.5140215158462524,413.8668212890625,0.0,0.0018494203686714172,,0.0009316839277744293,961.0,0.00026090629398822784,0.04596346616744995,1763260099.5520167,,65280,71.26143765449524,-0.007445968687534332,980
0.6067743897438049,0.043397534638643265,0.009765625,0.024349018931388855,,0.004140011966228485,961.0,0.00026059907395392656,0.7988978028297424,1763260100.10649,,65792,71.81591081619263,0.039121322333812714,985
,,,,500.0,,,,,1763260101.2083855,500.0,66812,72.91780638694763,,995
0.5726444721221924,0.016125835478305817,0.0,-0.01192476600408554,,0.0034928107634186745,958.0,0.0002599078288767487,-0.3672318458557129,1763260101.514051,,66944,73.2234718799591,0.008725219406187534,997
,,,,500.0,,,,,1763260104.130285,500.0,68812,75.83970594406128,,1015
,,,,500.0,,,,,1763260105.158795,500.0,69312,76.86821603775024,,1020
0.5053795576095581,6.4529128074646,0.0,-8.986517786979675e-05,,3.0798837542533875e-05,927.0,0.00025783409364521503,-0.0006310939788818359,1763260107.584731,,70400,79.29415202140808,0.00028884969651699066,1031
0.45035240054130554,0.00015646636893507093,0.001953125,0.0003104815259575844,,0.0017337799072265625,903.0,0.00025668201851658523,0.3186182379722595,1763260111.68523,,72320,83.39465093612671,-0.020872727036476135,1050
0.4901014566421509,1.3761606216430664,0.005859375,0.017482098191976547,,0.004183945246040821,900.0,0.0002565284084994346,-0.00013911724090576172,1763260112.2954779,,72576,84.0048987865448,0.005875530652701855,1053
0.5523877143859863,10.966761589050293,0.005859375,-0.0003673769533634186,,0.002124188467860222,893.0,0.0002562211884651333,-0.0006355047225952148,1763260113.428429,,73088,85.13784980773926,0.016395963728427887,1058
0.48901745676994324,0.009378909133374691,0.0,-0.0022811610251665115,,0.00036395713686943054,864.0,0.0002546850882936269,-0.25111281871795654,1763260119.127896,,75648,90.83731698989868,-0.002519933506846428,1083
,,,,500.0,,,,,1763260120.728176,500.0,76513,92.4375970363617,,1091
,,,,500.0,,,,,1763260123.745176,500.0,78013,95.45459699630737,,1106
0.42100825905799866,0.006915310397744179,0.0,-0.0020945295691490173,,0.00023179221898317337,838.0,0.00025253454805351794,-0.19762563705444336,1763260126.180102,,79232,97.88952302932739,-0.0024237865582108498,1118
0.40024513006210327,0.0001893646694952622,0.02734375,-0.02074422687292099,,0.014345468021929264,833.0,0.0002520737471058965,0.022568941116333008,1763260127.6792922,,80000,99.38871312141418,0.04877275973558426,1125
0.4934711158275604,0.0001777399011189118,0.0078125,-0.00939190573990345,,0.004359708167612553,827.0,0.00025161291705444455,0.194926917552948,1763260129.2146153,,80768,100.92403626441956,0.02358691394329071,1133
,,,,500.0,,,,,1763260131.435938,500.0,82013,103.14535880088806,,1145
0.39918243885040283,0.0001315028639510274,0.0,-0.0019953763112425804,,0.00023953523486852646,811.0,0.00024969279184006155,-0.19519579410552979,1763260135.1596134,,83968,106.86903429031372,0.008027748204767704,1164
,,,,500.0,,,,,1763260135.2022457,500.0,84013,106.91166663169861,,1165
0.429482102394104,0.005723665468394756,0.0,-0.010142132639884949,,0.001654626801609993,808.0,0.0002492319617886096,0.004346311092376709,1763260136.51647,,84736,108.22589087486267,0.0054000504314899445,1172
0.3804604411125183,8.964020729064941,0.0,0.002666804939508438,,0.00036455318331718445,804.0,0.0002486943267285824,-0.0002694129943847656,1763260138.1237829,,85632,109.83320379257202,-0.005423387512564659,1181
0.38304808735847473,0.006706321146339178,0.015625,6.324797868728638e-05,,0.005554983392357826,802.0,0.0002483871066942811,0.09419995546340942,1763260138.9720128,,86144,110.68143367767334,-0.008894398808479309,1186
0.3550077974796295,6.75907067488879e-05,0.013671875,-0.005848042666912079,,0.0020906133577227592,798.0,0.0002476958616171032,0.07296156883239746,1763260140.9689708,,87296,112.67839169502258,-0.0010412363335490227,1197
0.41877317428588867,0.00022080910275690258,0.064453125,-0.026281191036105156,,0.018092524260282516,794.0,0.00024669739650562406,-0.02185499668121338,1763260143.6777105,,88960,115.38713145256042,0.04420799762010574,1213
0.36980894207954407,26.053550720214844,0.0,-0.00444570928812027,,0.000964682549238205,793.0,0.00024662059149704874,-0.00022733211517333984,1763260143.923563,,89088,115.63298392295837,-0.01020539365708828,1215
0.397011935710907,0.003298332216218114,0.0,-0.0020715855062007904,,0.00021994579583406448,789.0,0.00024592934641987085,-0.2514885663986206,1763260145.9171703,,90240,117.62659120559692,0.0010508866980671883,1226
0.342162162065506,98.06969451904297,0.0,-0.01098086778074503,,0.0009539127349853516,788.0,0.0002456989313941449,-0.00013959407806396484,1763260146.6001368,,90624,118.30955767631531,0.0034681279212236404,1230
,,,,500.0,,,,,1763260147.2803507,500.0,91013,118.98977160453796,,1234
0.31894925236701965,0.008388201706111431,0.001953125,-0.002597114071249962,,0.001893291249871254,782.0,0.00024477727129124105,0.008533954620361328,1763260149.4972768,,92160,121.20669770240784,-0.00435827299952507,1245
0.32976168394088745,3.5091381072998047,0.0703125,-0.0024996399879455566,,0.009075520560145378,777.0,0.0002442396362312138,-5.650520324707031e-05,1763260151.4267893,,93056,123.13621020317078,-0.02082131989300251,1254
0.382133811712265,0.00013984400720801204,0.064453125,0.0026769600808620453,,0.013439889997243881,769.0,0.00024316436611115932,0.03931635618209839,1763260154.947479,,94848,126.65689992904663,0.0002700183540582657,1271
0.38950368762016296,0.007821151986718178,0.025390625,-0.0183829665184021,,0.008082898333668709,759.0,0.00024147465592250228,-0.24703598022460938,1763260160.301214,,97664,132.0106348991394,-0.01856328919529915,1299
0.3626331388950348,0.011577251367270947,0.0,-0.0004129186272621155,,0.0007826602086424828,746.0,0.00023901689564809203,0.052945613861083984,1763260167.973326,,101760,139.68274688720703,0.00414144154638052,1339
0.3439605236053467,0.0003096477303188294,0.001953125,0.0029008574783802032,,0.0006860243156552315,746.0,0.0002389400906395167,-0.03697562217712402,1763260168.2041178,,101888,139.9135386943817,0.0012956438586115837,1340
0.3666814863681793,8.229330705944449e-05,0.021484375,-0.008400162681937218,,0.009897887706756592,743.0,0.00023840245557948947,-0.128836989402771,1763260169.922422,,102784,141.6318428516388,0.04650091379880905,1349
0.34720733761787415,0.00647749612107873,0.0,-0.007231222465634346,,0.0006717732176184654,739.0,0.00023755760048516095,-0.14532887935638428,1763260172.5841367,,104192,144.29355764389038,0.002603408880531788,1363
0.3491164743900299,0.00018361874390393496,0.044921875,-0.0008890554308891296,,0.007635606452822685,738.0,0.0002374039904680103,-0.19222748279571533,1763260173.0395477,,104448,144.7489686012268,0.033223338425159454,1365
0.4034259617328644,0.00013600978127215058,0.009765625,-0.006457678973674774,,0.0011999541893601418,737.0,0.00023709677043370903,-0.13549447059631348,1763260173.9858866,,104960,145.69530749320984,0.00688250083476305,1370
0.3524825870990753,0.00020771255367435515,0.0,0.007719971239566803,,0.0011170608922839165,734.0,0.00023648233036510646,-0.22341108322143555,1763260175.9071093,,105984,147.61653017997742,0.009119580499827862,1380
,,,,500.0,,,,,1763260175.954903,500.0,106013,147.6643238067627,,1381
0.31755927205085754,0.0078734764829278,0.048828125,-0.001951528713107109,,0.008911974728107452,732.0,0.00023602150031365454,-0.24204301834106445,1763260177.3578007,,106752,149.06722164154053,0.048487696796655655,1388
,,,,500.0,,,,,1763260178.5953274,500.0,107513,150.30474829673767,,1395
0.36956295371055603,4.5901251723989844e-05,0.01171875,0.003302142955362797,,0.0010641468688845634,729.0,0.00023533025523647666,-0.11741769313812256,1763260179.4992907,,107904,151.2087116241455,-0.013827466405928135,1399
,,,,500.0,,,,,1763260180.4973464,500.0,108513,152.20676732063293,,1405
0.40354055166244507,0.0081147076562047,0.0,0.005047541111707687,,0.0012755803763866425,722.0,0.00023333333956543356,0.03004533052444458,1763260185.6042037,,111232,157.31362462043762,-0.0053106918931007385,1432
0.38766059279441833,0.00010144332190975547,0.0,0.0035065971314907074,,0.0015993816778063774,722.0,0.00023325653455685824,0.005749881267547607,1763260185.831161,,111360,157.54058194160461,-0.01136616338044405,1433
0.31171414256095886,209.9351806640625,0.0,-0.0006354125216603279,,0.00016688741743564606,718.0,0.0002319508494110778,7.68899917602539e-05,1763260189.7744231,,113536,161.48384404182434,-0.0025036074221134186,1455
0.35866931080818176,0.007703993935137987,0.02734375,-0.023535680025815964,,0.008560081012547016,717.0,0.00023187404440250248,0.03530460596084595,1763260189.9840834,,113664,161.6935043334961,0.043795451521873474,1456
0.35426491498947144,0.00011733133578673005,0.0,0.0019258111715316772,,8.80211591720581e-05,717.0,0.00023179723939392716,-0.03144276142120361,1763260190.1727495,,113792,161.88217043876648,-0.001940261572599411,1457
