losses/old_approx_kl,losses/value_loss,charts/episodic_return,losses/policy_loss,losses/entropy,losses/approx_kl,charts/SPS,losses/clipfrac,charts/episodic_length,_runtime,_timestamp,charts/learning_rate,losses/explained_variance,_step,global_step
,,500.0,,,,,,500.0,118.64645862579346,1763260146.5423355,,,1215,92921
-0.007305361330509186,0.4024028778076172,,-0.0082828588783741,0.3969441056251526,0.00046547316014766693,803.0,0.0,,120.50770807266235,1763260148.403585,0.00024370200117118657,-0.001574873924255371,1226,93952
,,500.0,,,,,,500.0,121.19871926307678,1763260149.0945961,,,1230,94421
-0.0019073206931352615,0.00013503867376130074,,-0.013104325160384178,0.5005400776863098,0.010006062686443329,800.0,0.017578125,,122.088787317276,1763260149.9846642,0.00024316436611115932,0.022834837436676025,1234,94848
,,500.0,,,,,,500.0,124.09292221069336,1763260151.988799,,,1245,95921
0.0006606420502066612,0.0001104360562749207,,-0.003474906086921692,0.32406845688819885,0.0019262256100773811,792.0,0.005859375,,125.88128924369812,1763260153.7771661,0.0002419354859739542,0.2524483799934387,1254,96896
0.014129129238426685,0.0056010023690760136,,-0.02130650170147419,0.4937245547771454,0.001689503900706768,787.0,0.0,,128.74253797531128,1763260156.6384149,0.00024093702086247504,0.11173534393310547,1271,98560
,,500.0,,,,,,500.0,133.46865105628967,1763260161.364528,,,1299,101421
0.007358962669968605,226.51065063476562,,0.013025268912315369,0.40619364380836487,0.0025039594620466232,771.0,0.021484375,,140.25817966461182,1763260168.1540565,0.00023678955039940774,0.00035941600799560547,1339,105472
0.00048294104635715485,0.00902152992784977,,0.019846118986606598,0.3969223201274872,0.02039879932999611,771.0,0.041015625,,140.46610403060913,1763260168.361981,0.00023671274539083242,0.07776319980621338,1340,105600
2.6837922632694244e-05,155.9709014892578,,-0.0036878790706396103,0.42902129888534546,0.0007597552612423897,769.0,0.005859375,,142.0130889415741,1763260169.9089658,0.00023617511033080518,-0.00015807151794433594,1349,106496
,,500.0,,,,,,500.0,144.38574743270874,1763260172.2816243,,,1363,107921
-0.006587588228285313,0.011684530414640903,,0.00457515986636281,0.4694134294986725,0.0007317522540688515,765.0,0.0,,144.8065800666809,1763260172.702457,0.00023517664521932602,-0.2842766046524048,1365,108160
0.007266143336892128,0.0059795016422867775,,-0.004790127277374268,0.470756471157074,0.005702534690499306,765.0,0.005859375,,145.64206719398499,1763260173.537944,0.00023486942518502474,0.3023310899734497,1370,108672
0.03264806419610977,0.0001737902348395437,,-0.013989798724651337,0.3948189318180084,0.00474040862172842,763.0,0.005859375,,147.34185981750488,1763260175.2377367,0.00023425498511642218,-0.02482461929321289,1380,109696
-0.00316071230918169,2.1338008082238957e-05,,-0.005286939442157745,0.30479955673217773,0.004547088406980038,762.0,0.025390625,,147.54406809806824,1763260175.439945,0.00023417819465976208,0.1411946415901184,1381,109824
0.009693414904177189,44.91357421875,,-0.014611557126045227,0.48072347044944763,0.0027728183194994926,761.0,0.0,,148.6371500492096,1763260176.533027,0.00023379416961688548,4.410743713378906e-05,1388,110464
0.004838889464735985,6.26577966613695e-05,,-0.0076613649725914,0.5053251385688782,0.0007582418620586395,760.0,0.0,,149.88890647888184,1763260177.7847834,0.00023333333956543356,-0.297092080116272,1395,111232
0.004177488386631012,0.006647462956607342,,0.006846874952316284,0.557203471660614,0.0012485533952713013,759.0,0.001953125,,150.50253295898438,1763260178.3984098,0.0002331029245397076,0.12626922130584717,1399,111616
0.003683452494442463,0.00015985217760317028,,-0.002979561686515808,0.4421658515930176,0.00017792265862226486,758.0,0.0,,151.5246479511261,1763260179.4205248,0.000232718899496831,0.014931559562683105,1405,112256
-0.00799996592104435,277.21484375,,-0.006602104753255844,0.44112056493759155,0.007560858502984047,754.0,0.03125,,155.91943264007568,1763260183.8153095,0.00023110599431674927,-0.0004773139953613281,1432,114944
-0.03218471631407738,0.008380052633583546,,-0.02846566215157509,0.4988558888435364,0.012593344785273075,754.0,0.046875,,156.10787272453308,1763260184.0037496,0.00023102918930817395,0.24734348058700562,1433,115072
0.00862678699195385,0.00014450661547016352,,0.0038080140948295593,0.5125360488891602,0.00041415728628635406,751.0,0.0,,159.7580225467682,1763260187.6538994,0.0002296466991538182,0.06463909149169922,1455,117376
,,500.0,,,,,,500.0,159.80140471458435,1763260187.6972816,,,1456,117421
0.0012022964656352997,26.161808013916016,,0.0009046271443367004,0.46038568019866943,9.813159704208374e-05,751.0,0.0,,159.99684143066406,1763260187.8927183,0.00022956989414524287,0.00017535686492919922,1457,117504
0.02509642019867897,0.0002121137222275138,,-0.03218827024102211,0.37916505336761475,0.010788973420858383,744.0,0.1015625,,169.3183934688568,1763260197.2142704,0.00022603686375077814,-0.3340526819229126,1514,123392
-0.008305227383971214,2.6202638149261475,,0.03445681184530258,0.4007360637187958,0.0022943709045648575,743.0,0.00390625,,170.37900304794312,1763260198.27488,0.00022565283870790154,0.0009795427322387695,1521,124032
,,500.0,,,,,,500.0,171.01808714866638,1763260198.913964,,,1525,124421
-0.01599813625216484,0.005478507839143276,,0.0008394885808229446,0.37158024311065674,0.008414285257458687,742.0,0.033203125,,171.4395408630371,1763260199.3354177,0.00022526881366502494,0.33596116304397583,1527,124672
,,500.0,,,,,,500.0,171.7024416923523,1763260199.5983186,,,1529,124921
,,500.0,,,,,,500.0,172.4533576965332,1763260200.3492346,,,1534,125421
0.032103925943374634,0.010549438185989857,,-0.008077770471572876,0.3478952944278717,0.009548837319016457,741.0,0.0546875,,172.8438913822174,1763260200.7397683,0.0002247311786049977,0.5456801652908325,1536,125568
