_timestamp,_step,global_step,charts/episodic_length,losses/clipfrac,charts/learning_rate,charts/SPS,losses/entropy,losses/value_loss,losses/old_approx_kl,_runtime,losses/explained_variance,losses/policy_loss,losses/approx_kl,charts/episodic_return
1763260248.3597708,1753,152576,,0.029296875,0.00020852535089943558,704.0,0.21256549656391144,0.00032290330273099244,-0.015386523678898811,220.072824716568,0.2699873447418213,-0.011923965066671371,0.002762436866760254,
1763260248.5618632,1754,152704,,0.060546875,0.00020844854589086026,704.0,0.32447272539138794,0.00020208110800012946,0.02740911766886711,220.2749171257019,0.35388147830963135,-0.0020879507064819336,0.009801672771573067,
1763260250.2649689,1765,153794,500.0,,,,,,,221.978022813797,,,,500.0
1763260250.875694,1768,154112,,0.0,0.00020760369079653174,703.0,0.3530551493167877,0.00014621751324739307,-0.013648824766278267,222.58874797821045,-0.4660552740097046,-0.0021850988268852234,0.0018348870798945427,
1763260252.345276,1777,155008,,0.0,0.0002070660557365045,702.0,0.3183532655239105,0.011447676457464695,0.0039639584720134735,224.0583300590515,0.22492074966430664,-0.004417091608047485,0.00012717954814434052,
1763260259.4191191,1818,159232,,0.1015625,0.00020453149045351893,699.0,0.3418934643268585,0.00017810756980907172,0.08880859613418579,231.13217306137085,-0.1985156536102295,-0.025074733421206474,0.023611649870872498,
1763260260.2852204,1823,159744,,0.05859375,0.00020422427041921765,698.0,0.235157310962677,0.00018372586055193096,0.015601085498929024,231.99827432632446,0.10693556070327759,0.0008367225527763367,0.012744033709168434,
1763260264.9941542,1851,162560,,0.041015625,0.0002025345602305606,696.0,0.28027254343032837,8.01173664513044e-05,0.031376417726278305,236.7072081565857,-0.30783188343048096,0.02213398739695549,0.007316055707633495,
1763260265.8685448,1856,163072,,0.0,0.00020222734019625932,696.0,0.35083234310150146,0.00011521005217218772,0.02275812439620495,237.5815987586975,0.09249329566955566,-0.004642374813556671,0.0018615331500768661,
1763260267.8697095,1868,164294,500.0,,,,,,,239.58276343345642,,,,500.0
1763260268.7668397,1873,164794,500.0,,,,,,,240.4798936843872,,,,500.0
1763260269.631229,1877,165248,,0.02734375,0.00020092165505047888,694.0,0.2735271453857422,0.00014887192810419947,0.013079501688480377,241.3442828655243,0.3139878511428833,0.0017081387341022491,0.007281869649887085,
1763260271.1566076,1886,166144,,0.0,0.00020038401999045163,693.0,0.20447590947151184,0.00015262773376889527,0.0036578159779310226,242.86966156959534,0.31007254123687744,-0.004196252673864365,0.001899300143122673,
1763260272.7081068,1895,167040,,0.01171875,0.0001998463849304244,693.0,0.23165363073349,0.010027307085692883,0.021717168390750885,244.421160697937,-0.4264165163040161,-0.0017942935228347778,0.004063494503498077,
1763260273.9754221,1903,167808,,0.0,0.00019938555487897247,692.0,0.2974807322025299,43.51190185546875,0.0017993981018662453,245.68847608566284,0.00024241209030151367,-0.009271152317523956,0.00021813157945871353,
1763260274.5801363,1906,168192,,0.005859375,0.0001991551398532465,692.0,0.261546790599823,7.851717236917466e-05,0.019472889602184296,246.29319024085999,0.4353952407836914,0.000623844563961029,0.0022130217403173447,
1763260276.4532733,1918,169344,,0.013671875,0.00019846389477606863,691.0,0.2954849898815155,176.17137145996094,0.016405228525400162,248.16632723808289,-0.00015747547149658203,-0.00986228883266449,0.0010716915130615234,
1763260276.8382459,1920,169600,,0.0,0.000198310284758918,691.0,0.26470962166786194,0.0001777751458575949,-0.0023125922307372093,248.55129981040955,0.06312060356140137,0.0011327266693115234,7.049832493066788e-05,
1763260280.8463097,1945,172160,,0.001953125,0.0001967741991393268,690.0,0.3440942168235779,8.086739399004728e-05,0.0032348306849598885,252.55936360359192,0.0646505355834961,0.0023502297699451447,0.0006857374683022499,
1763260282.9801188,1959,173568,,0.01953125,0.0001959293440449983,690.0,0.32284486293792725,0.0001594777131685987,0.004615484736859798,254.69317269325256,-0.12678813934326172,-0.02288539707660675,0.003407304175198078,
