losses/explained_variance,_timestamp,charts/episodic_return,_step,losses/value_loss,losses/policy_loss,charts/episodic_length,losses/entropy,_runtime,global_step,losses/clipfrac,charts/learning_rate,charts/SPS,losses/approx_kl,losses/old_approx_kl
-0.1586381196975708,1763260499.7796295,,3338,0.0007591407629661262,0.00046599842607975006,,0.3324527442455292,471.9035415649414,313600,0.0,0.00011190475925104693,669.0,0.0008095353841781616,-0.009986398741602898
-0.02830493450164795,1763260501.4317205,,3351,0.007038019597530365,0.006818551570177078,,0.2856578826904297,473.55563259124756,314880,0.0,0.00011113670916529372,670.0,0.0008472641929984093,0.004327821545302868
-0.2274003028869629,1763260502.2395463,,3357,0.0006976021104492247,0.0002466375008225441,,0.3499733507633209,474.3634583950043,315520,0.0,0.00011075269139837474,670.0,0.00038877129554748535,-0.0029276814311742783
4.9591064453125e-05,1763260502.5833836,,3360,4.825543403625488,-0.004549629986286163,,0.3856877088546753,474.7072956562042,315776,0.0,0.0001105990813812241,670.0,0.0007370384410023689,-0.001966920681297779
,1763260507.4468622,500.0,3398,,,500.0,,479.5707743167877,319663,,,,,
-0.026983022689819336,1763260507.9059377,,3401,0.00041985424468293786,0.003771871328353882,,0.33690977096557617,480.02984976768494,320000,0.0,0.00010806451609823853,671.0,0.00029474683105945587,-0.006618767976760864
-0.0984945297241211,1763260508.5499802,,3406,0.0004985728883184493,-0.011374123394489288,,0.3779156506061554,480.6738922595978,320512,0.0,0.00010775729606393725,672.0,0.0012614335864782333,0.006335146725177765
0.01793670654296875,1763260508.7009876,,3407,0.0006779876421205699,0.002881143242120743,,0.33666640520095825,480.8248996734619,320640,0.0,0.00010768049105536193,672.0,0.0005039321258664131,-0.0010043391957879066
0.17448437213897705,1763260510.2100017,,3419,0.006168287713080645,0.0013681203126907349,,0.35742902755737305,482.3339138031006,321792,0.0,0.00010698924597818404,672.0,4.862342029809952e-05,-0.0031403927132487297
-0.1037217378616333,1763260511.1322012,,3426,0.0004677965771406889,-0.002386100124567747,,0.3847404420375824,483.25611329078674,322560,0.001953125,0.00010652841592673212,672.0,0.001527390442788601,-0.0017707208171486855
-5.841255187988281e-06,1763260511.3199103,,3428,0.38172081112861633,-0.0005853250622749329,,0.3394123911857605,483.4438223838806,322688,0.0,0.0001064516109181568,672.0,6.637256592512131e-05,-0.0015641646459698677
-0.03347218036651611,1763260512.311929,,3435,0.0007349798688665032,0.0022088009864091873,,0.3920564651489258,484.4358410835266,323456,0.0,0.00010599078086670488,672.0,0.0002701682969927788,0.0002026604488492012
-0.028979182243347168,1763260514.2395678,,3450,0.001035502296872437,-0.004502728581428528,,0.4529056251049042,486.3634798526764,324992,0.0,0.00010506912803975865,673.0,0.0002535209059715271,-0.005281757563352585
0.153813898563385,1763260514.4126806,,3451,0.0007575796917080879,0.010911069810390472,,0.3758084774017334,486.5365927219391,325120,0.0,0.00010499232303118333,673.0,0.002556384541094303,0.02185628190636635
,1763260515.691533,500.0,3462,,,500.0,,487.81544518470764,326163,,,,,
