charts/episodic_return,_step,losses/approx_kl,losses/clipfrac,losses/explained_variance,_runtime,losses/value_loss,charts/learning_rate,losses/policy_loss,_timestamp,losses/entropy,charts/SPS,losses/old_approx_kl,global_step,charts/episodic_length
,1405,0.0005326475948095322,0.0,-0.48944318294525146,257.91307282447815,0.00037766742752864957,0.00022411673853639513,0.002561565488576889,1763260288.021437,0.5899906158447266,574.0,-0.0031392164528369904,126592,
500.0,1432,,,,261.8438711166382,,,,1763260291.9522352,,,,129339,500.0
,1433,3.329012542963028e-05,0.0,-1.4185905456542969e-05,262.0406377315521,138.3190155029297,0.0002224270283477381,0.0012224763631820679,1763260292.1490018,0.5692979097366333,576.0,-0.0012078741565346718,129408,
,1455,0.0014851754531264305,0.00390625,0.15485769510269165,265.90348625183105,0.0004459004558157176,0.00022104455274529755,-0.017408959567546844,1763260296.0118504,0.5782917141914368,576.0,0.0008411640301346779,131712,
500.0,1456,,,,265.98522996902466,,,,1763260296.093594,,,,131839,500.0
,1457,0.0008111856877803802,0.0,-1.3232231140136719e-05,266.12571907043457,144.51004028320312,0.00022096774773672223,0.0003179870545864105,1763260296.2340832,0.49519217014312744,576.0,0.007366683334112167,131840,
,1514,0.0014961855486035347,0.00390625,0.24356412887573242,275.78085708618164,9.70367545960471e-05,0.0002174347173422575,-0.003437904641032219,1763260305.8892212,0.5374097228050232,578.0,0.01145655382424593,137728,
,1521,0.0013091545552015305,0.0,0.00010371208190917969,276.84720730781555,487.1541442871094,0.0002170506922993809,-0.011237561702728271,1763260306.9555714,0.4637529253959656,578.0,-0.016886018216609955,138368,
500.0,1525,,,,277.51252007484436,,,,1763260307.6208842,,,,138839,500.0
,1527,0.000327233225107193,0.0,0.0011590123176574707,277.88413643836975,0.0028266320005059242,0.0002166666672565043,0.005576431751251221,1763260307.9925005,0.505945086479187,578.0,0.0013564694672822952,139008,
,1529,0.0002937018871307373,0.0,0.024456322193145752,278.2647714614868,0.00011413601896492764,0.00021651305723935366,-0.00487348809838295,1763260308.3731356,0.47653400897979736,578.0,0.005781035870313644,139264,
,1534,0.0001692911610007286,0.0,-0.08938121795654297,279.0877170562744,0.00010909300181083381,0.00021620583720505238,-0.0016140565276145935,1763260309.1960812,0.5545849800109863,578.0,-0.0009920569136738777,139776,
,1536,0.0001724427565932274,0.0,-7.939338684082031e-05,279.3313639163971,188.07949829101562,0.00021612903219647706,-0.0028007887303829193,1763260309.439728,0.5377727150917053,578.0,0.0023982757702469826,139904,
,1543,0.00020348373800516129,0.0,0.058544039726257324,280.4678099155426,0.00031774232047609985,0.00021566820214502513,-0.0016842298209667206,1763260310.576174,0.5106948614120483,579.0,0.0001917639747262001,140672,
500.0,1545,,,,280.71044278144836,,,,1763260310.818807,,,,140839,500.0
,1546,9.056925773620605e-05,0.0,-4.2319297790527344e-05,280.889821767807,262.7437438964844,0.0002155145921278745,0.0009202323853969574,1763260310.9981859,0.5056687593460083,579.0,0.004515882581472397,140928,
,1558,0.0028174985200166702,0.00390625,0.31519269943237305,282.9487690925598,0.00017850342555902898,0.0002147465420421213,-0.0179218091070652,1763260313.0571332,0.518349289894104,579.0,0.02109610103070736,142208,
,1559,0.0022300248965620995,0.0,-0.39979028701782227,283.1386168003082,0.00014549541810993105,0.00021466973703354597,-0.020127758383750916,1763260313.246981,0.5367220640182495,579.0,0.011506161652505398,142336,
,1563,0.00254868995398283,0.0,-0.01156771183013916,283.7454309463501,9.94152287603356e-05,0.00021443932200782,-0.006366893649101257,1763260313.853795,0.5210141539573669,579.0,-0.01101101003587246,142720,
,1566,0.00021068193018436432,0.0,0.4406626224517822,284.23630452156067,0.004135283175855875,0.00021428571199066937,0.0015968084335327148,1763260314.3446686,0.5028178095817566,579.0,-0.0018314439803361893,142976,
,1588,0.00024062860757112503,0.0,-0.14614737033843994,287.98491644859314,0.00016758662241045386,0.0002129032218363136,0.0006565749645233154,1763260318.0932806,0.46777117252349854,580.0,0.0068109771236777306,145280,
500.0,1589,,,,288.0207254886627,,,,1763260318.1290896,,,,145339,500.0
,1597,8.249189704656601e-05,0.0,-0.2801365852355957,289.4305741786957,0.0003821146965492517,0.00021236558677628636,-0.0025620711967349052,1763260319.5389383,0.4340793490409851,580.0,0.0027069775387644768,146176,
,1607,0.003856068477034569,0.017578125,-0.36138916015625,290.97947216033936,0.001264503924176097,0.0002117511467076838,-0.0021272487938404083,1763260321.0878363,0.4512982964515686,580.0,-0.010448170825839043,147200,
500.0,1609,,,,291.1714041233063,,,,1763260321.2797682,,,,147339,500.0
