losses/clipfrac,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,_timestamp,losses/entropy,charts/episodic_length,losses/value_loss,global_step,charts/learning_rate,charts/episodic_return,_runtime,_step,charts/SPS,losses/approx_kl
0.0,-0.006061897613108158,-0.007456706836819649,-0.40254807472229004,1763260488.9987886,0.5881124138832092,,0.00039757671765983105,228864,0.0001627496094442904,,397.9936246871948,2465,619.0,0.00036775320768356323
,,,,1763260492.7018783,,500.0,,231541,,500.0,401.6967144012451,2491,,
0.0,-0.006452634930610657,-0.006515157409012318,0.18507438898086548,1763260493.0901558,0.5480083227157593,,0.003960822708904743,231680,0.00016105991380754858,,402.0849919319153,2493,620.0,0.000675971619784832
,,,,1763260494.611229,,500.0,,233041,,500.0,403.60606503486633,2506,,
0.0,0.004104547202587128,0.006435259245336056,0.02898484468460083,1763260496.0622132,0.557830810546875,,0.0003605341771617532,233856,0.00015975422866176814,,405.0570492744446,2514,620.0,0.00014467071741819382
0.0,-0.0002984777092933655,9.149406105279922e-05,-0.037587642669677734,1763260496.2793663,0.5287180542945862,,9.630514250602573e-05,233984,0.00015967742365319282,,405.27420234680176,2515,620.0,5.260389298200607e-05
0.0,0.0030777975916862488,-0.010866151191294193,-0.02253115177154541,1763260497.096525,0.5466316342353821,,0.00017939980898518115,234496,0.00015937020361889154,,406.0913610458374,2520,620.0,0.0015711979940533638
0.0,-0.012994162738323212,0.014366449788212776,-3.3244452476501465,1763260499.1426914,0.5318670272827148,,0.0007252372452057898,235776,0.00015860215353313833,,408.1375274658203,2533,620.0,0.00153324194252491
,,,,1763260499.837433,,500.0,,236473,,500.0,408.83226919174194,2540,,
0.0,-0.004888473078608513,0.002868867479264736,-0.03746509552001953,1763260500.6180031,0.6141589879989624,,0.0035642823204398155,237184,0.0001577572984388098,,409.61283922195435,2547,622.0,0.00021799374371767044
0.0,0.0034619271755218506,-0.0017265146598219872,0.010080337524414062,1763260502.9977772,0.5273580551147461,,398.77435302734375,239360,0.00015645161329302937,,411.9926133155823,2570,624.0,0.0007500452920794487
0.0,-0.003674890846014023,-0.0001360047608613968,0.07007646560668945,1763260503.121348,0.5423745512962341,,0.00859860423952341,239488,0.00015637480828445405,,412.11618399620056,2571,624.0,0.0001605786383152008
0.0,-0.00010045059025287628,0.0028498703613877296,-2.978337526321411,1763260503.636944,0.5889207124710083,,0.005367476958781481,240000,0.00015606758825015277,,412.6317801475525,2576,624.0,0.00035763252526521683
0.0,0.00101412832736969,0.0005571180954575539,-0.582399845123291,1763260503.7492776,0.5680773258209229,,0.0002487440942786634,240128,0.00015599078324157745,,412.74411368370056,2577,624.0,2.951640635728836e-05
,,,,1763260506.8585277,,500.0,,243289,,500.0,415.8533637523651,2608,,
