losses/approx_kl,losses/clipfrac,losses/explained_variance,charts/episodic_length,losses/value_loss,charts/learning_rate,_step,global_step,losses/entropy,losses/policy_loss,_timestamp,charts/episodic_return,_runtime,charts/SPS,losses/old_approx_kl
0.0003871610388159752,0.0,0.847747802734375,,7.635123252868652,0.0002636712742969394,815,60672,0.4651819169521332,-0.010230906307697296,1763260260.635892,,170.3839249610901,429.0,0.005972704850137234
1.6250647604465485e-05,0.0,-0.03319120407104492,,0.5341838002204895,0.00026098309899680316,863,65152,0.46141454577445984,0.000955900177359581,1763260270.1290913,,179.8771243095398,432.0,-0.0001881653442978859
0.00020783953368663788,0.0,-2.3887856006622314,,7.747489929199219,0.0002604454639367759,872,66048,0.45756977796554565,-0.006175145506858826,1763260272.0039747,,181.75200772285461,432.0,-0.0018466822803020477
0.00060984306037426,0.0,0.6467803716659546,,292.19512939453125,0.0002602918539196253,876,66304,0.46760207414627075,0.006557006388902664,1763260272.6119988,,182.36003184318542,432.0,-0.004831695929169655
0.0009702201932668686,0.0,-0.586042046546936,,16.452667236328125,0.00025791089865379035,922,70272,0.5022723078727722,-0.0008992254734039307,1763260281.2895083,,191.03754138946533,434.0,-0.0007719248533248901
0.011884124018251896,0.052734375,-0.08959698677062988,,542.5872192382812,0.0002576036786194891,930,70784,0.48883581161499023,-0.05634935200214386,1763260282.5468347,,192.29486775398254,433.0,0.054554861038923264
,,,115.0,,,938,71401,,,1763260283.7504823,115.0,193.49851536750793,,
0.006423984654247761,0.017578125,-1.5366871356964111,,109.55399322509766,0.00025706604355946183,941,71680,0.5733894109725952,-0.04710794985294342,1763260284.4525075,,194.20054054260254,434.0,-0.025252189487218857
,,,308.0,,,942,71709,,,1763260284.5084686,308.0,194.2565016746521,,
0.0002889912575483322,0.0,0.008716940879821777,,142.79005432128906,0.00025668201851658523,948,72320,0.3990844190120697,-0.002971956506371498,1763260285.8245964,,195.5726294517517,434.0,0.0023606475442647934
0.00022377632558345795,0.0,0.12099552154541016,,266.7054138183594,0.0002551459183450788,974,74880,0.5208300352096558,0.0007836669683456421,1763260290.2679749,,200.01600790023804,438.0,-0.002596326172351837
0.0002729902043938637,0.0,-2.1948561668395996,,4.525338172912598,0.0002547618933022022,980,75520,0.497692734003067,-0.00117495097219944,1763260291.044112,,200.7921450138092,440.0,0.006761019118130207
0.004822367802262306,0.005859375,0.9551434516906738,,0.14668816328048706,0.00025445467326790094,985,76032,0.4892376661300659,0.005288459360599518,1763260291.6608775,,201.4089105129242,441.0,0.039847418665885925
0.0006753094494342804,0.0,-2.0047597885131836,,0.5759405493736267,0.0002538402331992984,995,77056,0.5882248282432556,-0.0030245669186115265,1763260293.43302,,203.1810531616211,442.0,0.006322251632809639
0.0005360115319490433,0.0,-0.018923640251159668,,442.415283203125,0.00025376342819072306,997,77184,0.5032498836517334,0.0008674375712871552,1763260293.7084014,,203.4564344882965,442.0,-0.000764947384595871
