charts/learning_rate,charts/episodic_return,_runtime,_timestamp,losses/explained_variance,global_step,losses/clipfrac,losses/approx_kl,losses/value_loss,losses/entropy,losses/old_approx_kl,losses/policy_loss,charts/episodic_length,charts/SPS,_step
9.162826609099284e-05,,530.2300198078156,1763260621.1828098,-0.31497132778167725,347392,0.0,0.0012050103396177292,0.00105376192368567,0.534964919090271,0.0009938403964042664,-0.0014202632009983063,,692.0,3683
9.155146108241752e-05,500.0,530.3720409870148,1763260621.324831,-7.677078247070312e-05,347520,0.0,0.0012298906221985817,390.2261047363281,0.5876683592796326,-0.004353982396423817,0.0027180761098861694,500.0,692.0,3684
8.986175089376047e-05,,533.3083968162537,1763260624.2611868,-0.545507550239563,350336,0.0,0.0007094014436006546,0.000548142590560019,0.528076708316803,0.012796245515346527,-0.006304025650024414,,693.0,3711
,500.0,533.4612822532654,1763260624.4140723,,350520,,,,,,,500.0,,3713
8.963133586803451e-05,,533.7232389450073,1763260624.676029,-0.08209109306335449,350720,0.0,0.00016818009316921234,0.003802604041993618,0.509113073348999,-0.002074161544442177,0.0032070493325591087,,694.0,3715
8.863287075655535e-05,,535.4385726451874,1763260626.3913627,-0.32687246799468994,352384,0.0,6.190221756696701e-05,0.0008042932604439557,0.5656825304031372,0.0005407361313700676,-0.0024939198046922684,,695.0,3731
8.847926073940471e-05,,535.7098095417023,1763260626.6625996,-0.00014126300811767578,352640,0.0,4.761852324008942e-06,93.55583190917969,0.5491242408752441,0.00023760925978422165,-0.00013623572885990143,,695.0,3734
8.717357559362426e-05,,537.9931426048279,1763260628.9459326,-0.1441861391067505,354816,0.0,2.6617199182510376e-06,0.0006574733415618539,0.5341876149177551,0.00015359744429588318,-0.0005035959184169769,,696.0,3755
8.594470273237675e-05,,540.0434684753418,1763260630.9962585,-0.1529543399810791,356864,0.0,8.76719132065773e-05,0.0005424341070465744,0.5258970260620117,-0.00149515550583601,-0.0012471377849578857,,697.0,3775
8.57142877066508e-05,,540.4220626354218,1763260631.3748527,0.07621967792510986,357248,0.0,0.00022299960255622864,0.0029005217365920544,0.56999671459198,-0.005016559734940529,-0.0033812671899795532,,697.0,3779
8.417818753514439e-05,,542.9265475273132,1763260633.8793375,-0.0513765811920166,359808,0.0,5.0623901188373566e-05,0.00042764388490468264,0.5620079636573792,-0.003075656481087208,0.0007337145507335663,,699.0,3804
8.402457751799375e-05,,543.182178735733,1763260634.1349688,-0.00011730194091796875,360064,0.0,0.00029423367232084274,463.63983154296875,0.5406395196914673,-0.0026746829971671104,0.0033036507666110992,,699.0,3807
8.149001223500818e-05,,547.4266817569733,1763260638.3794718,-0.03692185878753662,364288,0.0,0.0010042404755949974,0.000648156856186688,0.5145151019096375,0.007409595884382725,-0.0016147047281265259,,701.0,3847
,500.0,550.6395545005798,1763260641.5923445,,367520,,,,,,,500.0,,3879
7.926267426228151e-05,,551.1775336265564,1763260642.1303236,-0.1736215353012085,368000,0.0,0.0003166813403367996,0.0005922672571614385,0.521976888179779,-0.0023395903408527374,-0.0012511946260929108,,704.0,3883
,500.0,551.1868884563446,1763260642.1396785,,368020,,,,,,,500.0,,3884
7.903225923655555e-05,,551.5420231819153,1763260642.4948132,0.03906965255737305,368384,0.0,0.000603802502155304,0.0008802050142548978,0.5638030171394348,0.00011046230792999268,-0.006003126502037048,,704.0,3887
7.880184421082959e-05,,551.9499804973602,1763260642.9027705,0.001294553279876709,368768,0.0,0.00041684042662382126,0.002674628281965852,0.5182071924209595,0.0059838565066456795,-0.001971092075109482,,704.0,3891
,500.0,552.6505744457245,1763260643.6033645,,369520,,,,,,,500.0,,3898
