losses/value_loss,charts/episodic_return,losses/entropy,losses/approx_kl,charts/learning_rate,_runtime,_timestamp,global_step,losses/clipfrac,charts/episodic_length,charts/SPS,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,_step
,500.0,,,,201.6420750617981,1763260292.647263,77204,,500.0,,,,,980
,500.0,,,,202.62542486190796,1763260293.6306129,77704,,500.0,,,,,985
640.4080810546875,,0.47433537244796753,0.0011340640485286713,0.0002528417680878192,204.56643080711365,1763260295.5716188,78720,0.001953125,,446.0,-0.012635752558708191,0.005023185163736343,-4.565715789794922e-05,995
0.0005337048787623644,,0.5183330774307251,0.0016181571409106255,0.0002526881580706686,205.03531622886658,1763260296.0405042,78976,0.0,,447.0,-0.0059980303049087524,0.014579112641513348,-0.22331726551055908,997
0.00017249889788217843,,0.5346770882606506,0.00034615490585565567,0.00025161291705444455,208.45864629745483,1763260299.4638343,80768,0.0,,448.0,0.00423117820173502,0.0020424099639058113,-0.5102982521057129,1015
320.4570617675781,,0.5268005132675171,1.902598887681961e-05,0.0002514593070372939,209.08080410957336,1763260300.085992,81024,0.0,,448.0,0.0006864499300718307,-0.0014106156304478645,0.00028699636459350586,1020
0.0015195014420896769,,0.5228656530380249,0.00044733937829732895,0.00025076806196011603,210.5543212890625,1763260301.5595093,82176,0.0,,451.0,0.0006454009562730789,-0.009460349567234516,-1.7499911785125732,1031
0.0003452685195952654,,0.610142171382904,0.004284681752324104,0.0002496159868314862,212.705646276474,1763260303.7108343,84096,0.005859375,,456.0,-0.028117192909121513,-0.0015491452068090439,0.09901314973831177,1050
710.0941772460938,,0.47190117835998535,0.004947424866259098,0.0002494623768143356,213.26280426979065,1763260304.2679923,84352,0.005859375,,456.0,-0.013330652378499508,0.025910450145602226,0.0006903409957885742,1053
397.7193908691406,,0.5606229901313782,2.2630207240581512e-05,0.0002491551567800343,214.27946019172668,1763260305.2846482,84864,0.0,,456.0,-0.000528678297996521,0.0008780276402831078,-0.00033271312713623047,1058
0.00019468030950520188,,0.5146533250808716,0.00024322420358657837,0.0002476190566085279,219.11513590812683,1763260310.120324,87424,0.0,,458.0,0.0033904770389199257,0.0049476828426122665,-0.1274029016494751,1083
390.01171875,,0.5639918446540833,0.0007122894749045372,0.000247158226557076,220.2887876033783,1763260311.2939756,88192,0.0,,459.0,-0.007003854960203171,0.003425789065659046,-0.00019037723541259766,1091
487.8951721191406,,0.46999454498291016,7.435772567987442e-05,0.00024623656645417213,222.57647609710693,1763260313.581664,89728,0.0,,462.0,-0.0028657689690589905,0.0042159827426075935,-0.00015783309936523438,1106
9.792111814022064e-05,,0.5696558952331543,0.0004122331738471985,0.00024546851636841893,224.01646208763123,1763260315.02165,91008,0.0,,465.0,0.009923655539751053,0.006427578628063202,-0.19283294677734375,1118
279.65240478515625,,0.5130225419998169,0.00022442173212766647,0.00024508449132554233,224.781014919281,1763260315.786203,91648,0.0,,466.0,-7.369555532932281e-05,-0.005081751383841038,-0.00038683414459228516,1125
0.00016437449085060507,,0.4777284264564514,0.0010913321748375893,0.0002445468562655151,225.7751784324646,1763260316.7803664,92544,0.0,,468.0,0.004870446398854256,-0.009927286766469479,-0.0013402700424194336,1133
388.8612365722656,,0.45302289724349976,0.0022588130086660385,0.0002438556111883372,227.06468725204468,1763260318.0698752,93696,0.0,,471.0,0.007682345807552338,0.012130355462431908,-0.00010144710540771484,1145
,500.0,,,,229.5873305797577,1763260320.5925186,95617,,500.0,,,,,1164
