losses/clipfrac,losses/old_approx_kl,losses/approx_kl,_runtime,losses/entropy,charts/learning_rate,_timestamp,charts/SPS,charts/episodic_length,losses/explained_variance,_step,losses/policy_loss,charts/episodic_return,global_step,losses/value_loss
0.0,-0.0002544242888689041,1.4366582036018372e-05,572.4378681182861,0.5194410085678101,6.413210212485865e-05,1763260663.3905342,722.0,,0.00012344121932983398,4105,0.000161733478307724,,393216,339.2765197753906
,,,572.8421766757965,,,1763260663.7948427,,500.0,,4109,,500.0,393681,
0.0,-0.00021481048315763474,2.275221049785614e-06,573.4643275737762,0.5516817569732666,6.351766205625609e-05,1763260664.4169936,723.0,,-1.9073486328125e-05,4115,-0.00018694251775741577,,394240,623.3522338867188
,,,573.8813679218292,,,1763260664.834034,,500.0,,4119,,500.0,394681,
0.0,0.0002982094883918762,4.451163113117218e-05,576.4065585136414,0.586685836315155,6.175115413498133e-05,1763260667.3592246,724.0,,-3.6597251892089844e-05,4144,0.004334855824708939,,397184,466.8621826171875
0.0,0.0010827872902154922,2.0695850253105164e-05,577.0303084850311,0.5819241404533386,6.136712909210473e-05,1763260667.9829745,725.0,,-0.24162614345550537,4150,0.0003478042781352997,,397824,0.0027405538130551577
,,,578.7314054965973,,,1763260669.6840715,,500.0,,4168,,500.0,399681,
0.0,0.0001049945130944252,1.1688098311424255e-06,580.3681879043579,0.5534698367118835,5.9293393860571086e-05,1763260671.320854,727.0,,-5.269050598144531e-05,4184,-0.0004976131021976471,,401280,443.26629638671875
0.0,-0.0008012484759092331,1.963600516319275e-05,581.3710639476776,0.5944507718086243,5.8678953791968524e-05,1763260672.32373,727.0,,0.00011754035949707031,4194,0.0008073542267084122,,402304,0.0030253762379288673
0.0,0.0008199755102396011,2.1476298570632935e-06,581.8845365047455,0.5900058150291443,5.837173739564605e-05,1763260672.8372025,727.0,,-0.027149558067321777,4199,-0.0001243411097675562,,402816,0.0023415114264935255
0.0,-0.0005601299926638603,3.0724331736564636e-06,584.4385576248169,0.5528368353843689,5.6835637224139646e-05,1763260675.3912237,729.0,,-0.03943359851837158,4224,-0.00043001212179660797,,405376,0.0022916963789612055
0.0,0.00016102660447359085,1.410115510225296e-05,584.9226536750793,0.5744731426239014,5.6528417189838365e-05,1763260675.8753197,729.0,,0.0019300580024719238,4229,-0.0004838481545448303,,405888,0.0019401441095396876
