_timestamp,charts/episodic_length,charts/SPS,losses/clipfrac,losses/approx_kl,losses/explained_variance,charts/episodic_return,losses/entropy,losses/value_loss,losses/policy_loss,_runtime,losses/old_approx_kl,_step,global_step,charts/learning_rate
1763260583.2770026,,665.0,0.0,0.0002363491803407669,0.012399673461914062,,0.5637475848197937,0.00015904514293652028,-0.009659536182880402,492.44822549819946,-8.880719542503357e-05,3247,308608,0.00011490015458548442
1763260583.5365324,,665.0,0.0,5.972106009721756e-05,0.2417203187942505,,0.5715333819389343,0.0026846807450056076,-0.0016734674572944641,492.70775532722473,0.0004856334999203682,3250,308864,0.00011474654456833377
1763260583.7571464,,665.0,0.0,4.596449434757233e-05,-0.08647787570953369,,0.5976607799530029,0.0001441752101527527,0.0022801607847213745,492.92836928367615,0.002446729689836502,3252,309120,0.00011459293455118313
1763260583.9764495,,665.0,0.0,4.001893103122711e-05,-0.021535396575927734,,0.6022399663925171,0.003277897834777832,-0.0006072893738746643,493.14767241477966,-0.0013572406023740768,3255,309376,0.0001144393245340325
1763260584.3049774,,666.0,0.0,4.625879228115082e-06,-4.887580871582031e-06,,0.5350311994552612,275.01763916015625,0.00012176483869552612,493.47620034217834,0.00013446342200040817,3259,309760,0.00011420890950830653
1763260585.4741864,500.0,,,,,500.0,,,,494.64540934562683,,3272,311147,
1763260585.8086305,,667.0,0.0,0.00017148349434137344,-0.1858069896697998,,0.567949652671814,0.00011336413444951177,0.005210451781749725,494.97985339164734,-0.0030244169756770134,3275,311424,0.00011321044439682737
1763260585.9173446,,667.0,0.0,2.7455389499664307e-05,0.002361774444580078,,0.5267605185508728,9.585722727933899e-05,0.0009958744049072266,495.08856749534607,-0.00029587559401988983,3276,311552,0.00011313363938825205
1763260587.752729,,669.0,0.0,5.8001838624477386e-05,0.05731695890426636,,0.5645830631256104,8.813214662950486e-05,-0.0005519241094589233,496.92395186424255,0.004993877373635769,3296,313600,0.00011190475925104693
1763260587.9779768,,669.0,0.0,7.771886885166168e-06,0.026814043521881104,,0.6006125211715698,0.002578186336904764,-0.0003580749034881592,497.1491997241974,0.0007751742377877235,3299,313856,0.00011175114923389629
1763260591.408951,,673.0,0.0,2.6120804250240326e-05,-0.001110672950744629,,0.5394027233123779,0.002875774633139372,-0.002188637852668762,500.5801739692688,0.00010510627180337906,3338,317696,0.00010944700625259429
1763260592.5654604,500.0,,,,,500.0,,,,501.73668336868286,,3351,319043,
1763260593.0244417,,674.0,0.0,7.485784590244293e-05,-0.07469654083251953,,0.581191897392273,0.010953770019114017,-0.0020294412970542908,502.19566464424133,-0.002243686467409134,3357,319488,0.00010837173613253981
1763260593.138734,,674.0,0.0,6.044190376996994e-05,-3.314018249511719e-05,,0.518278181552887,867.1729736328125,-0.002121809870004654,502.3099570274353,0.001005849801003933,3360,319616,0.00010829493112396449
1763260596.7927365,,677.0,0.0,0.00011545047163963318,-0.008632659912109375,,0.6095828413963318,0.006686517037451267,-0.0032237470149993896,505.9639594554901,-0.005145221948623657,3398,323328,0.0001060675858752802
