losses/value_loss,losses/old_approx_kl,losses/approx_kl,_runtime,charts/episodic_return,charts/learning_rate,charts/SPS,charts/episodic_length,losses/entropy,_timestamp,global_step,losses/clipfrac,_step,losses/policy_loss,losses/explained_variance
0.003933704923838377,0.005666808225214481,0.00044370535761117935,199.90567302703857,,0.0002536098181735724,451.0,,0.550431489944458,1763260290.910867,77440,0.0,974,0.010670691728591919,-0.23640012741088867
0.001115873921662569,-0.011456627398729324,0.004824225790798664,200.63030219078064,,0.0002532257931306958,453.0,,0.5829015374183655,1763260291.6354961,78080,0.005859375,980,0.009608950465917587,-0.03548634052276611
0.00010039635526482016,-0.0038167648017406464,0.0009975917637348175,201.35798120498657,,0.00025291857309639454,454.0,,0.5495885610580444,1763260292.3631752,78592,0.0,985,-0.0020515024662017822,-0.2624516487121582
0.0006405626190826297,0.016866609454154968,0.0016849106177687645,203.40619444847107,,0.000252304133027792,455.0,,0.5375280380249023,1763260294.4113884,79616,0.0,995,-0.0034832358360290527,-6.020974636077881
478.5127258300781,0.00030490942299366,0.0002988092601299286,203.6843388080597,,0.00025222732801921666,455.0,,0.5692799091339111,1763260294.6895328,79744,0.0,997,0.003758128732442856,-4.851818084716797e-05
0.00018766311404760927,0.012882452458143234,0.0026229377835989,207.4283583164215,,0.0002510752819944173,456.0,,0.5577799677848816,1763260298.4335523,81664,0.005859375,1015,-8.932128548622131e-05,0.012893915176391602
6.634466262767091e-05,0.05387847498059273,0.007945067249238491,208.45159602165222,,0.00025076806196011603,456.0,,0.527559757232666,1763260299.45679,82176,0.025390625,1020,-0.017409056425094604,0.2280958890914917
,,,210.10064125061035,500.0,,,500.0,,1763260301.1058352,83201,,1031,,
,,,212.3062252998352,500.0,,,500.0,,1763260303.3114192,85201,,1050,,
0.00034181910450570285,0.025629885494709015,0.008496195077896118,212.78498721122742,,0.0002487711317371577,463.0,,0.46214842796325684,1763260303.7901812,85504,0.01953125,1053,-0.01876721903681755,0.31785106658935547
0.0006621369975619018,0.013703979551792145,0.0025773271918296814,213.8230595588684,,0.0002484639117028564,463.0,,0.43631741404533386,1763260304.8282535,86016,0.0,1058,-0.015017982572317123,0.10439145565032959
0.0008309690747410059,-0.001922760158777237,0.0007106773555278778,218.75889134407043,,0.00024692781153135,465.0,,0.4617418348789215,1763260309.7640853,88576,0.0,1083,-0.005633862689137459,-0.18664848804473877
0.006158721167594194,-0.023899076506495476,0.001255023293197155,220.04704022407532,,0.0002464669814798981,466.0,,0.5047578811645508,1763260311.0522342,89344,0.0,1091,-0.01349039189517498,-0.02726006507873535
0.006681135855615139,0.01274093147367239,0.00170831847935915,222.46435952186584,,0.00024554532137699425,468.0,,0.5399856567382812,1763260313.4695535,90880,0.0,1106,-0.01762557402253151,0.19150429964065552
0.00016987783601507545,0.003560451790690422,0.00021400302648544312,223.92257404327393,,0.00024477727129124105,471.0,,0.511752188205719,1763260314.927768,92160,0.0,1118,-0.0013636574149131775,0.5552152395248413
534.892578125,0.0056825242936611176,0.0027353744953870773,224.70430898666382,,0.00024439324624836445,472.0,,0.5958289504051208,1763260315.709503,92800,0.001953125,1125,0.0016802474856376648,0.0012739896774291992
0.00024065600882750005,-0.007231500931084156,0.0007867524400353432,225.69947814941406,,0.0002438556111883372,474.0,,0.5153706669807434,1763260316.704672,93696,0.001953125,1133,-0.0029756873846054077,-0.45529496669769287
0.004205121658742428,0.012441711500287056,0.0026599671691656113,227.02565002441406,,0.00024316436611115932,477.0,,0.5036590695381165,1763260318.030844,94848,0.00390625,1145,-0.011550240218639374,0.2907865643501282
384.95550537109375,0.0026927096769213676,5.483347922563553e-05,229.7092912197113,,0.00024201229098252952,480.0,,0.5408666133880615,1763260320.7144852,96768,0.0,1164,0.0015259310603141785,0.0004429817199707031
,,,229.76609206199646,152.0,,,152.0,,1763260320.771286,96853,,1165,,
0.006752646993845701,0.0012894291430711746,0.00019990280270576477,231.2691731452942,,0.0002415514609310776,480.0,,0.5368056297302246,1763260322.274367,97536,0.0,1172,-0.004006765782833099,0.066295325756073
320.9229736328125,0.0023528216406702995,0.000151841901242733,233.0318727493286,,0.00024101382587105036,481.0,,0.5342237949371338,1763260324.0370667,98432,0.0,1181,0.0011333823204040527,0.000341951847076416
208.91635131835938,-0.0011341143399477005,6.668269634246826e-06,234.02229022979736,,0.00024070660583674908,481.0,,0.4891487956047058,1763260325.0274842,98944,0.0,1186,0.0006489530205726624,0.0007304549217224121
