losses/clipfrac,losses/entropy,charts/learning_rate,losses/explained_variance,losses/approx_kl,charts/episodic_return,charts/SPS,_runtime,losses/old_approx_kl,losses/policy_loss,_step,global_step,_timestamp,losses/value_loss,charts/episodic_length
0.0,0.4536599814891815,0.00026351766427978873,0.25457990169525146,0.00033027026802301407,,416.0,175.1801495552063,-0.0041122278198599815,0.008169237524271011,806,60928,1763260265.6643956,0.21095536649227142,
0.0,0.4660335183143616,0.0002629800292197615,0.14046978950500488,5.022156983613968e-05,,417.0,177.04854106903076,0.004988168366253376,-0.0027266517281532288,815,61824,1763260267.532787,0.11983449757099152,
0.01953125,0.471915602684021,0.0002600614388938993,-0.1945664882659912,0.007166520692408085,,421.0,187.0357804298401,0.009612290188670158,-0.03461912274360657,863,66688,1763260277.5200264,0.004032617900520563,
0.0,0.49744269251823425,0.0002595238038338721,-0.00010573863983154297,8.12094658613205e-05,,422.0,188.8965413570404,0.00986163318157196,0.0013191662728786469,872,67584,1763260279.3807874,190.84011840820312,
,,,,,500.0,,189.69975066184998,,,876,67981,1763260280.1839967,,500.0
0.0,0.5627741813659668,0.00025645160349085927,0.0898594856262207,0.00034531205892562866,,427.0,199.1184709072113,-0.004477202892303467,-0.005933687090873718,922,72704,1763260289.602717,0.0034535008016973734,
,,,,,177.0,,199.90319442749023,,,930,73412,1763260290.3874404,,177.0
0.0,0.5803200006484985,0.00025552994338795543,-0.32714569568634033,0.0018280679360032082,,431.0,200.91153073310852,0.0033762184903025627,-0.028258036822080612,938,74240,1763260291.3957767,0.00047655278467573225,
0.0,0.5956031084060669,0.0002553763333708048,-4.3511390686035156e-05,0.0002937251701951027,,432.0,201.23354935646057,-0.0034298738464713097,-0.002526506781578064,941,74496,1763260291.7177954,431.98345947265625,
0.0,0.5376670956611633,0.00025529952836222947,0.25588005781173706,0.0018281731754541397,,432.0,201.36949467658997,-0.008017221465706825,-0.0075996071100234985,942,74624,1763260291.8537407,0.00418540183454752,
,,,,,327.0,,202.28977751731873,,,948,75239,1763260292.7740235,,327.0
0.0,0.5552114248275757,0.00025337940314784646,-9.429454803466797e-05,0.00039866380393505096,,436.0,207.38115096092224,0.0007046498358249664,-0.00016120076179504395,974,77824,1763260297.865397,395.05120849609375,
0.0,0.5266267657279968,0.00025299537810496986,0.003514409065246582,0.0018224464729428291,,436.0,208.5633430480957,0.02465849183499813,-0.019174691289663315,980,78464,1763260299.047589,0.005392970982939005,
0.0,0.5749167203903198,0.0002526881580706686,-0.11008024215698242,0.0011322414502501488,,437.0,209.54293203353882,0.001973646692931652,-0.006740950047969818,985,78976,1763260300.027178,0.005083614494651556,
0.0,0.5765109062194824,0.0002521505521144718,-0.00917351245880127,0.001986563205718994,,439.0,210.79549646377563,-0.001718098297715187,0.014560699462890625,995,79872,1763260301.2797425,0.009451988153159618,
0.0,0.5946338772773743,0.0002520737471058965,6.455183029174805e-05,0.00039198528975248337,,439.0,210.97960114479065,0.0032828589901328087,0.0017134994268417358,997,80000,1763260301.4638472,428.34814453125,
0.0,0.577799379825592,0.00025130569702014327,0.03602331876754761,0.000926516018807888,,442.0,212.60129261016846,-0.004140331409871578,-0.014847632497549057,1015,81280,1763260303.0855386,0.046222228556871414,
0.0,0.4782829284667969,0.000250998476985842,-0.092254638671875,0.0008863434195518494,,443.0,213.18483567237854,-0.014338996261358261,-0.008865287527441978,1020,81792,1763260303.6690817,0.0239618718624115,
0.015625,0.4962092638015747,0.0002503072319086641,-0.026271700859069824,0.004972412250936031,,444.0,215.41500902175903,-0.020907562226057053,-0.015652209520339966,1031,82944,1763260305.899255,0.0005950588383711874,
0.0,0.5557035803794861,0.0002491551567800343,-0.21367788314819336,0.003125252202153206,,446.0,219.12230324745178,0.01871880330145359,-0.01966414973139763,1050,84864,1763260309.6065493,0.004237734246999025,
,,,,,500.0,,219.64137530326843,,,1053,85147,1763260310.1256213,,500.0
,,,,,500.0,,220.40374851226807,,,1058,85647,1763260310.8879945,,500.0
0.0,0.5145099759101868,0.000247158226557076,-5.233287811279297e-05,0.00014542508870363235,,452.0,223.9677755832672,-7.775332778692245e-05,0.002378694713115692,1083,88192,1763260314.4520216,561.992919921875,
0.0,0.4548189043998718,0.00024662059149704874,-0.019908666610717773,5.9153884649276733e-05,,454.0,224.9878282546997,0.00010465271770954132,-4.357844591140747e-05,1091,89088,1763260315.4720743,0.0001800848258426413,
0.0,0.49765104055404663,0.0002456989313941449,0.07285881042480469,0.0018222080543637276,,458.0,226.77400016784668,0.009338781237602234,-0.006723970174789429,1106,90624,1763260317.2582462,8.064709982136264e-05,
0.0,0.4851298928260803,0.000245007686316967,0.026985764503479004,0.000528343953192234,,460.0,228.08325457572937,0.00953660998493433,-0.009911026805639267,1118,91776,1763260318.5675006,0.004351448733359575,
0.001953125,0.5144441723823547,0.0002445468562655151,-0.018634915351867676,0.0008286498486995697,,462.0,228.93355655670166,-0.00014422647655010223,-0.004862979054450989,1125,92544,1763260319.4178026,0.0002773099986370653,
0.0,0.49742400646209717,0.00024408602621406317,0.07990872859954834,0.0012626275420188904,,463.0,230.30772399902344,0.017017288133502007,-0.01500687561929226,1133,93312,1763260320.79197,0.004165837541222572,
0.0,0.49641352891921997,0.00024331797612830997,-0.045537471771240234,0.00025461241602897644,,464.0,232.73427057266235,0.001131553202867508,-0.0008309409022331238,1145,94592,1763260323.2185166,8.01882561063394e-05,
0.017578125,0.48196983337402344,0.00024216590099968016,-1.01503324508667,0.006722176447510719,,465.0,236.36734700202942,0.019772324711084366,0.005598155781626701,1164,96512,1763260326.851593,0.0007501162472181022,
0.0,0.5441591143608093,0.00024208909599110484,0.0023851990699768066,0.001108846627175808,,465.0,236.5979688167572,-0.006810617633163929,-0.0011965110898017883,1165,96640,1763260327.0822148,0.00015099809388630092,
0.0,0.5854775905609131,0.00024170507094822824,0.2744411826133728,0.0006562406197190285,,465.0,237.82943892478943,0.0030062375590205193,-0.0020943712443113327,1172,97280,1763260328.313685,0.00257130223326385,
0.0,0.5473701357841492,0.000241167435888201,0.000485837459564209,0.0008905492722988129,,466.0,239.55614519119263,-0.006695857271552086,-0.01220269501209259,1181,98176,1763260330.0403912,686.2366943359375,
0.0,0.5674630403518677,0.00024086021585389972,0.0002727508544921875,0.0006935130804777145,,466.0,240.4275131225586,0.0019041821360588074,-6.091315299272537e-05,1186,98688,1763260330.9117591,336.5454406738281,
0.0,0.5969282984733582,0.00024016897077672184,0.00015223026275634766,0.00028952769935131073,,468.0,242.06260991096497,-0.000726090744137764,-0.005677070468664169,1197,99840,1763260332.546856,0.004245099611580372,
0.0,0.5404344201087952,0.00023917050566524267,-0.04079842567443848,0.00015658047050237656,,471.0,244.06804394721985,-0.0026064300909638405,0.004729248583316803,1213,101504,1763260334.55229,0.0011443478288128972,
,,,,,500.0,,244.25771141052246,,,1215,101647,1763260334.7419574,,500.0
0.0,0.5462000370025635,0.00023840245557948947,0.11953634023666382,0.0013999268412590027,,474.0,245.62970876693726,0.007460758090019226,-0.007918335497379303,1226,102784,1763260336.1139548,0.005455623846501112,
0.0,0.593464732170105,0.0002381720405537635,9.608268737792969e-05,0.0002860715612769127,,475.0,246.0904893875122,-0.0012015784159302711,-0.003672167658805847,1230,103168,1763260336.5747354,562.655029296875,
,,,,,500.0,,246.53972363471985,,,1234,103647,1763260337.0239697,,500.0
0.0,0.4661102592945099,0.0002374039904680103,0.0010766386985778809,5.1948241889476776e-05,,477.0,247.66855239868164,-0.0018317298963665962,0.001761414110660553,1245,104448,1763260338.1527984,1231.5648193359375,
0.0,0.5449728965759277,0.00023694316041655838,-0.14000153541564941,0.000528089702129364,,479.0,248.58292269706726,0.0008161794394254684,-0.011832743883132935,1254,105216,1763260339.0671687,0.00469367578625679,
0.0,0.6047011613845825,0.00023594469530507922,-1.2159347534179688e-05,7.0426613092422485e-06,,482.0,250.63600826263428,0.0004292316734790802,0.0007761567831039429,1271,106880,1763260341.1202543,442.27398681640625,
0.0,0.43635687232017517,0.00023417819465976208,0.053306639194488525,0.0034461328759789467,,488.0,253.8171420097351,0.00880083255469799,-0.008210116997361183,1299,109824,1763260344.301388,0.00018505577463656664,
,,,,,500.0,,260.1683580875397,,,1339,113854,1763260350.652604,,500.0
0.0,0.46208012104034424,0.00023172043438535184,0.00013440847396850586,0.00020691193640232086,,492.0,260.36997151374817,-0.0002963915467262268,-0.001287311315536499,1340,113920,1763260350.8542175,649.6486206054688,
,,,,,500.0,,262.0075433254242,,,1349,114854,1763260352.4917893,,500.0
0.0,0.4054775536060333,0.00023026113922242075,0.07567524909973145,3.5917386412620544e-05,,493.0,264.794584274292,-0.0005147531628608704,0.0009828731417655945,1363,116352,1763260355.2788303,0.00022797193378210068,
0.0,0.4615122079849243,0.00023018433421384543,6.693601608276367e-05,0.0005287844687700272,,493.0,265.06731128692627,-5.801767110824585e-05,-0.008693347685039043,1365,116480,1763260355.5515573,0.0032654786482453346,
0.0,0.44973260164260864,0.00022987711417954415,0.017870843410491943,0.00028934888541698456,,493.0,265.84452533721924,0.005909420549869537,0.0014683231711387634,1370,116992,1763260356.3287714,0.0043049221858382225,
0.0,0.4395481050014496,0.0002292626741109416,-0.07906031608581543,0.0010281093418598175,,495.0,267.0755715370178,-0.01394730620086193,-0.004536852240562439,1380,118016,1763260357.5598176,0.005676865112036467,
0.0,0.5231932401657104,0.00022918586910236627,-0.12903130054473877,0.0005414560437202454,,495.0,267.2660970687866,-0.0011762510985136032,-0.013490898534655571,1381,118144,1763260357.750343,0.0003297866496723145,
,,,,,500.0,,268.47036266326904,,,1388,118854,1763260358.9546087,,500.0
0.0,0.4677322506904602,0.00022834101400803775,-0.6291654109954834,0.0003602709621191025,,496.0,269.7414963245392,-0.007922904565930367,-0.006214365363121033,1395,119552,1763260360.2257423,0.004807709716260433,
0.0,0.368599534034729,0.00022811059898231179,0.0001475811004638672,0.00016352441161870956,,496.0,270.4072012901306,-0.001247256062924862,0.0007332488894462585,1399,119936,1763260360.8914473,500.68359375,
0.0,0.3459668755531311,0.00022772657393943518,-0.9619379043579102,0.002076106145977974,,497.0,271.46664667129517,-0.01956058107316494,-0.00037438422441482544,1405,120576,1763260361.9508927,0.006762671284377575,
,,,,,500.0,,274.83766198158264,,,1432,123354,1763260365.321908,,500.0
0.0,0.3942981958389282,0.00022603686375077814,0.00035631656646728516,0.0017636362463235855,,501.0,274.96847915649414,-0.0011423099786043167,0.01173681765794754,1433,123392,1763260365.4527252,696.98291015625,
0.0,0.4929150640964508,0.00022465437359642237,-0.029721856117248535,0.00023586302995681763,,505.0,277.65708231925964,-0.0012356527149677277,-0.00132085382938385,1455,125696,1763260368.1413283,0.0009079954470507801,
