_timestamp,losses/value_loss,global_step,losses/approx_kl,charts/episodic_return,_step,charts/SPS,charts/episodic_length,losses/policy_loss,losses/old_approx_kl,losses/entropy,losses/clipfrac,charts/learning_rate,_runtime,losses/explained_variance
1763260321.9593449,0.003527068765833974,102272,4.1472725570201874e-05,,1213,504.0,,0.0018217861652374268,0.00031020957976579666,0.551987886428833,0.0,0.00023870967561379075,231.67062282562256,-0.2586442232131958
1763260322.3496742,0.00043658094364218414,102528,0.0007478473708033562,,1215,505.0,,-0.0017330832779407501,0.011836252175271511,0.49242088198661804,0.0,0.0002385560655966401,232.06095218658447,-0.6613043546676636
1763260324.2635417,286.7197265625,103552,0.0003174450248479843,,1226,505.0,,-0.0006958507001399994,4.4150277972221375e-05,0.5134432911872864,0.0,0.00023794162552803755,233.97481966018677,-3.6954879760742188e-06
1763260324.9677677,,104031,,500.0,1230,,500.0,,,,,,234.67904567718506,
1763260325.8123415,0.00013586647401098162,104448,0.0004685278981924057,,1234,506.0,,0.002943001687526703,-0.007240645587444305,0.46912771463394165,0.0,0.0002374039904680103,235.52361941337585,-0.327060341835022
1763260327.6503568,,105531,,500.0,1245,,500.0,,,,,,237.36163473129272,
1763260329.4886625,0.00030663239886052907,106496,0.00024434830993413925,,1254,506.0,,-0.0011217594146728516,0.0012127375230193138,0.49205082654953003,0.0,0.00023617511033080518,239.19994044303894,-0.058455586433410645
1763260332.2007143,0.007923639379441738,108160,0.0002827141433954239,,1271,508.0,,-0.005059909075498581,0.008300147950649261,0.558146059513092,0.0,0.00023517664521932602,241.91199231147766,-0.09520649909973145
1763260335.5293932,,111031,,500.0,1299,,500.0,,,,,,245.2406711578369,
1763260340.3152697,663.296875,115072,0.000316019169986248,,1339,520.0,,8.609145879745483e-05,0.0005750665441155434,0.5487253069877625,0.0,0.00023102918930817395,250.02654767036438,6.258487701416016e-06
1763260340.4531224,0.008223199285566807,115200,0.004449476487934589,,1340,521.0,,-0.02083350159227848,-0.01325535960495472,0.5178743004798889,0.01171875,0.00023095238429959863,250.1644003391266,-0.0049381256103515625
1763260341.5312622,318.8622131347656,116096,0.00045064184814691544,,1349,522.0,,0.007049351930618286,-0.009717653505504131,0.5658859014511108,0.0,0.0002304147492395714,251.2425401210785,0.00011515617370605469
1763260343.0534968,,117531,,500.0,1363,,500.0,,,,,,252.76477479934692,
1763260343.2885573,0.006406297907233238,117760,0.000561627559363842,,1365,526.0,,-0.002125408500432968,0.0019786572083830833,0.5587441921234131,0.0,0.00022941628412809223,252.99983525276184,-0.11724555492401123
1763260343.8208542,0.003960594534873962,118272,0.0011377250775694847,,1370,527.0,,0.01026386208832264,-0.008011083118617535,0.5744337439537048,0.0,0.00022910906409379095,253.53213214874268,-0.07435905933380127
1763260344.8909674,0.000262776215095073,119296,2.3087486624717712e-05,,1380,529.0,,0.00013764575123786926,0.0016018543392419815,0.5423453450202942,0.0,0.00022849462402518839,254.60224533081055,0.046058475971221924
1763260345.0429273,0.0003074390406254679,119424,0.00117584690451622,,1381,529.0,,0.006558716297149658,-0.00012045539915561676,0.5422911047935486,0.001953125,0.00022841781901661307,254.7542052268982,-0.484494686126709
1763260345.6971653,243.9369354248047,120064,0.0007679695263504982,,1388,530.0,,-0.0019286759197711945,0.0057776859030127525,0.5165894627571106,0.0,0.00022803379397373646,255.40844321250916,-0.0004862546920776367
1763260346.910676,0.0005652719410136342,120832,0.0005897358059883118,,1395,531.0,,-0.0021541938185691833,0.002708878368139267,0.5613482594490051,0.0,0.00022757296392228454,256.6219539642334,-0.2451263666152954
1763260347.5630121,0.006637144833803177,121216,0.002253773622214794,,1399,531.0,,-0.01958121731877327,0.0017324676737189293,0.5261263847351074,0.0,0.00022734254889655858,257.27429008483887,-0.1677175760269165
1763260348.621873,0.0010406910441815853,121856,0.0022611450403928757,,1405,531.0,,-0.005080725997686386,0.01605094224214554,0.48332270979881287,0.0,0.00022695852385368198,258.33315086364746,-0.002054929733276367
1763260353.0840306,0.008855421096086502,124416,0.002535930834710598,,1432,532.0,,-0.004259202629327774,0.007349424995481968,0.5316839218139648,0.005859375,0.00022542242368217558,262.7953085899353,-0.5209770202636719
1763260353.2922268,0.0007899575284682214,124544,0.003069983795285225,,1433,532.0,,0.010504534468054771,-0.007250679656863213,0.5758029222488403,0.0,0.00022534561867360026,263.0035047531128,-0.23703575134277344
1763260356.6746073,,126729,,500.0,1455,,500.0,,,,,,266.38588523864746,
1763260356.8229136,456.5078430175781,126848,0.00016549695283174515,,1456,534.0,,0.0023074373602867126,0.003472686745226383,0.4446792006492615,0.0,0.0002239631285192445,266.53419160842896,-0.0003292560577392578
1763260356.949878,0.003543680068105459,126976,0.0013630343601107597,,1457,534.0,,0.011248476803302765,0.010240147821605206,0.5251417756080627,0.0,0.00022388632351066917,266.6611559391022,-0.42178022861480713
1763260364.7758892,0.000843473884742707,132736,0.00028016138821840286,,1514,541.0,,-0.0004605147987604141,0.0018479758873581886,0.567744255065918,0.0,0.000220430112676695,274.48716711997986,-0.12562942504882812
1763260365.480579,,133456,,500.0,1521,,500.0,,,,,,275.1918568611145,
1763260366.0091903,0.00017558848776388913,133888,0.000451122410595417,,1525,542.0,,-0.000525597482919693,-0.0066922130063176155,0.5595272779464722,0.0,0.0002197388675995171,275.7204682826996,-0.08176219463348389
1763260366.166978,354.5970153808594,134016,0.0002876659855246544,,1527,543.0,,0.007080668583512306,-0.0035579735413193703,0.6001322269439697,0.0,0.0002196620625909418,275.8782558441162,-5.2809715270996094e-05
