_timestamp,losses/old_approx_kl,global_step,losses/entropy,charts/learning_rate,losses/clipfrac,charts/SPS,_runtime,losses/approx_kl,losses/policy_loss,charts/episodic_length,charts/episodic_return,_step,losses/value_loss,losses/explained_variance
1763260295.290711,-0.004371155984699726,123392,0.4083998501300812,0.00022603686375077814,0.0,676.0,216.760488986969,0.0003972211852669716,-0.00138188898563385,,,1521,0.005473075434565544,0.01921790838241577
1763260295.7573895,0.0004936670884490013,123776,0.4740254282951355,0.00022580644872505218,0.0,677.0,217.22716760635376,0.00010832119733095169,-0.0018714964389801025,,,1525,1470.8037109375,0.0012621879577636719
1763260296.0485837,0.0064918529242277145,124032,0.4547789990901947,0.00022565283870790154,0.0,677.0,217.5183618068695,0.00040333718061447144,-0.0003922097384929657,,,1527,0.001651259372010827,-0.006778240203857422
1763260296.228859,,124209,,,,,217.698637008667,,,500.0,500.0,1529,,
1763260296.8219347,,124709,,,,,218.2917127609253,,,500.0,500.0,1534,,
1763260297.124917,0.002961902879178524,124928,0.44101300835609436,0.0002251152036478743,0.0,678.0,218.59469509124756,0.0002139294520020485,0.00293770432472229,,,1536,0.004360317252576351,0.04588282108306885
1763260298.0650895,-0.008144441992044449,125696,0.5017728805541992,0.00022465437359642237,0.009765625,678.0,219.5348675251007,0.0015701893717050552,-0.01806344836950302,,,1543,0.0001933976891450584,-0.3891444206237793
1763260298.219894,0.0024106521159410477,125824,0.5107529163360596,0.00022457756858784705,0.0,679.0,219.68967199325562,0.00027867406606674194,-0.0018817968666553497,,,1545,389.81719970703125,-6.592273712158203e-05
1763260298.371797,0.001628190279006958,125952,0.49601852893829346,0.00022450076357927173,0.0,679.0,219.84157514572144,0.0001670457422733307,-0.008555673062801361,,,1546,0.008656091056764126,-0.2170865535736084
1763260299.8019476,,127209,,,,,221.27172565460205,,,500.0,500.0,1558,,
1763260299.9304872,-0.008670496754348278,127232,0.5313926935195923,0.00022373271349351853,0.0,680.0,221.4002652168274,0.00043679680675268173,0.005038049072027206,,,1559,1691.713134765625,-0.0002884864807128906
1763260300.407359,,127709,,,,,221.8771369457245,,,500.0,500.0,1563,,
1763260300.8141732,-0.005231342278420925,128000,0.509247362613678,0.0002232718834420666,0.0,681.0,222.28395128250122,0.0009139785543084145,0.00565154105424881,,,1566,0.00121139211114496,-0.3699018955230713
1763260303.1305306,,130209,,,,,224.6003086566925,,,500.0,500.0,1588,,
1763260303.2311654,0.0023856498301029205,130304,0.4895021319389343,0.00022188940783962607,0.0,684.0,224.70094347000122,6.878003478050232e-05,-0.0002052951604127884,,,1589,1121.6907958984375,9.655952453613281e-05
1763260304.053625,-0.0003591785207390785,131200,0.5474945902824402,0.00022135177277959883,0.0,686.0,225.5234031677246,0.00026600155979394913,-0.002497076988220215,,,1597,0.0001859056792454794,-0.23012006282806396
1763260304.9101424,,132209,,,,,226.3799204826355,,,500.0,500.0,1607,,
1763260305.097317,-0.0017958655953407288,132352,0.564060628414154,0.00022066052770242095,0.0,688.0,226.56709504127502,4.604831337928772e-05,9.236205369234085e-05,,,1609,0.008617842569947243,-0.01439821720123291
1763260305.2085822,0.008565247058868408,132480,0.5466607213020325,0.00022058372269384563,0.0,689.0,226.67836022377014,0.000186944380402565,-0.0010392442345619202,,,1610,0.0018205820815637708,0.11355119943618774
1763260305.3542926,,132709,,,,,226.82407069206238,,,500.0,500.0,1612,,
1763260306.739394,0.008382735773921013,134144,0.5601888298988342,0.00021958525758236647,0.0078125,692.0,228.20917201042175,0.0037989215925335884,-0.00616094097495079,,,1626,0.00014334989828057587,-0.026029229164123535
1763260307.787239,-0.0009725792333483696,135296,0.5580835342407227,0.00021889401250518858,0.0,694.0,229.25701713562012,0.00013207737356424332,0.0026882775127887726,,,1638,900.5687866210938,-0.0001804828643798828
1763260312.368477,0.0004058973863720894,140288,0.5625613331794739,0.0002158986171707511,0.0,703.0,233.83825516700745,0.00044561829417943954,-0.011564899235963821,,,1687,0.00016617885557934642,0.19107401371002197
1763260316.451044,-0.0035726288333535194,144768,0.48534005880355835,0.00021321044187061489,0.001953125,711.0,237.9208221435547,0.0009850719943642616,-0.006907515227794647,,,1732,0.0007530059083364904,-0.11362957954406738
1763260317.890355,-0.00021362584084272385,146048,0.5651096701622009,0.00021244239178486168,0.0,712.0,239.36013317108154,3.310013562440872e-05,-0.0013489015400409698,,,1745,440.078857421875,-0.00015544891357421875
1763260318.925423,0.020065099000930786,146944,0.5616089105606079,0.00021190475672483444,0.005859375,713.0,240.3952009677887,0.0024797730147838593,-0.0038437098264694214,,,1753,0.00020022447279188782,-0.13175570964813232
1763260318.9579556,,146950,,,,,240.42773365974426,,,500.0,500.0,1754,,
1763260320.3406887,0.0008833706378936768,148096,0.5616875886917114,0.00021121351164765656,0.0,714.0,241.81046676635742,8.404254913330078e-06,-0.000437907874584198,,,1765,0.005596470553427935,-0.05910766124725342
1763260320.6781614,,148450,,,,,242.14793944358826,,,500.0,500.0,1768,,
1763260321.6377249,-0.002898905426263809,149376,0.5695274472236633,0.00021044546156190336,0.0,715.0,243.1075029373169,0.0002230033278465271,-0.0056442804634571075,,,1777,0.0005006844294257462,-0.871213436126709
1763260326.4681437,-0.007188303396105766,153472,0.5237367749214172,0.00020798771583940834,0.0,718.0,247.93792176246643,0.0010045859962701797,0.0006781481206417084,,,1818,0.0009546517976559699,-3.4477100372314453
1763260326.988314,0.018736008554697037,153984,0.5529204607009888,0.00020768049580510706,0.001953125,719.0,248.45809197425842,0.001374117098748684,-0.019331328570842743,,,1823,0.0006146074156276882,-10.685956001281738
1763260329.8795216,-0.001372024416923523,156800,0.52286696434021,0.00020599078561645,0.0,722.0,251.34929966926575,0.0002920050173997879,0.0017262473702430725,,,1851,0.0056180828250944614,0.015137135982513428
1763260330.447672,-0.0031435005366802216,157312,0.5851680040359497,0.00020568356558214873,0.005859375,723.0,251.91744995117188,0.0010421257466077805,0.00436859205365181,,,1856,0.005414600018411875,-0.22615134716033936
1763260331.8910296,-0.0054774051532149315,158592,0.5755557417869568,0.00020491551549639553,0.005859375,724.0,253.36080765724182,0.0016940170899033546,-0.020714104175567627,,,1868,0.00014370278222486377,0.2703831195831299
1763260332.397138,,159101,,,,,253.86691617965698,,,500.0,500.0,1873,,
1763260332.8362353,0.0025262394919991493,159488,0.5624299049377441,0.0002043778804363683,0.0,725.0,254.30601334571838,0.00034763943403959274,-0.006394863128662109,,,1877,0.0003658552304841578,-0.04459655284881592
1763260333.6555731,0.005579485557973385,160384,0.5725371837615967,0.00020384024537634104,0.0,726.0,255.12535119056702,0.00021543074399232864,0.0026038140058517456,,,1886,0.0008440909441560507,0.03062570095062256
1763260334.4853115,0.0010297046974301338,161280,0.5505243539810181,0.0002033026103163138,0.0,727.0,255.9550895690918,0.00144945178180933,-0.008095301687717438,,,1895,0.0078081549145281315,-0.021041512489318848
1763260335.2180073,,162101,,,,,256.6877853870392,,,500.0,500.0,1903,,
1763260335.535426,0.002455497160553932,162432,0.5851386785507202,0.00020261136523913592,0.0,729.0,257.00520396232605,0.0012410804629325867,-0.0013917088508605957,,,1906,0.0008536812383681536,-0.00660252571105957
1763260336.6122785,,163601,,,,,258.0820565223694,,,500.0,500.0,1918,,
1763260336.8360028,-0.0064811306074261665,163840,0.5777485370635986,0.0002017665101448074,0.0,731.0,258.30578088760376,0.0011572400107979774,-0.004411179572343826,,,1920,0.006258866749703884,-0.03685569763183594
1763260339.2122157,-0.005387508310377598,166400,0.5692769289016724,0.000200230409973301,0.0,735.0,260.68199372291565,0.0011174632236361504,0.011777400970458984,,,1945,0.0008527023601345718,-0.0020154714584350586
1763260340.7105567,,167746,,,,,262.18033480644226,,,500.0,500.0,1959,,
1763260342.3082073,0.0008122893050312996,169088,0.5660839676856995,0.00019861750479321927,0.0,737.0,263.77798533439636,0.0007075341418385506,-0.0035100430250167847,,,1973,0.0011518142418935895,-0.016585707664489746
1763260343.6735127,,170294,,,,,265.14329075813293,,,500.0,500.0,1985,,
1763260344.42353,-0.004330585710704327,170880,0.598917543888092,0.00019754224922508,0.0,738.0,265.8933081626892,0.00071681197732687,-0.006723120808601379,,,1991,1491.74755859375,-0.0009126663208007812
1763260345.8081086,0.0006256746128201485,172032,0.5706544518470764,0.00019685100414790213,0.0,738.0,267.2778866291046,6.532389670610428e-05,-0.0019017960876226425,,,2002,0.005574940238147974,-0.05961883068084717
1763260346.4241145,-0.002889871597290039,172544,0.5426960587501526,0.00019654378411360085,0.0,738.0,267.8938925266266,0.000848161056637764,0.0056996941566467285,,,2007,0.0028572797309607267,-0.036718010902404785
1763260347.3857422,-0.0014343736693263054,173440,0.5559922456741333,0.0001960061490535736,0.0,739.0,268.8555202484131,0.000132647342979908,-0.00258563831448555,,,2016,0.0045438408851623535,-0.24105894565582275
1763260347.6431246,,173794,,,,,269.1129026412964,,,500.0,500.0,2019,,
1763260348.1221821,,174294,,,,,269.5919601917267,,,500.0,500.0,2024,,
1763260348.428677,0.011025593616068363,174592,0.5722554326057434,0.00019531490397639573,0.00390625,741.0,269.89845514297485,0.004216599278151989,0.0009629279375076294,,,2027,0.00107957876753062,0.0076143741607666016
1763260348.5666928,,174794,,,,,270.03647089004517,,,500.0,500.0,2029,,
1763260349.0494483,,175294,,,,,270.51922631263733,,,500.0,500.0,2034,,
1763260350.0653503,0.0031364373862743378,176384,0.5787018537521362,0.00019423963385634124,0.0,743.0,271.53512835502625,7.724016904830933e-05,0.0011585280299186707,,,2045,959.7227783203125,-0.00037217140197753906
1763260350.6418288,0.014848057180643082,177024,0.5615427494049072,0.00019385560881346464,0.001953125,744.0,272.11160683631897,0.002286025322973728,-0.0034919381141662598,,,2051,0.005372453480958939,-0.08580970764160156
1763260350.7632434,0.003840007819235325,177152,0.5178368091583252,0.00019377880380488932,0.001953125,744.0,272.23302149772644,0.0014675958082079887,-0.0103684663772583,,,2052,0.0013113542227074504,0.08528196811676025
1763260352.7917535,0.020795462653040886,178944,0.5525488257408142,0.00019270353368483484,0.0,746.0,274.2615315914154,0.0019671730697155,0.0007748957723379135,,,2070,0.0002814127365127206,0.0024720430374145508
1763260353.4726756,,179492,,,,,274.942453622818,,,500.0,500.0,2076,,
1763260355.5118592,,181206,,,,,276.9816372394562,,,135.0,135.0,2093,,
1763260355.6275728,0.0013826899230480194,181248,0.5765684843063354,0.00019132104353047907,0.0,746.0,277.09735083580017,4.019588232040405e-05,-0.0021717771887779236,,,2094,1551.403564453125,0.0022562146186828613
1763260357.636603,,183047,,,,,279.1063811779022,,,365.0,365.0,2117,,
1763260360.1058197,0.0008491892367601395,185728,0.562416136264801,0.00018863286823034286,0.0,751.0,281.5755977630615,0.00016822479665279388,0.002589661628007889,,,2146,299.0819091796875,-0.0003210306167602539
1763260360.2182522,0.007562761195003986,185856,0.590986967086792,0.00018855606322176754,0.0,751.0,281.6880302429199,0.0003619799390435219,-0.007652616128325462,,,2147,0.0017196423141285777,-0.09278523921966553
1763260360.2511427,,185948,,,,,281.7209208011627,,,344.0,344.0,2148,,
1763260360.935405,0.008647564798593521,186624,0.6082539558410645,0.00018809523317031562,0.00390625,752.0,282.4051830768585,0.003855716437101364,-0.03073935955762863,,,2155,0.0005847766296938062,-0.027958035469055176
