_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
1020,96.20926928520203,73856,1763260165.7459483,,,0.001865886151790619,-0.7136819362640381,0.000148652121424675,0.001953125,0.002368025481700897,0.5844929218292236,0.0002557603584136814,1055.0,0.0008544485317543149
1031,97.17335724830627,74953,1763260166.7100363,500.0,500.0,,,,,,,,,
1050,98.98423314094543,76928,1763260168.5209122,,,0.006495684385299683,0.277301549911499,0.020708568394184113,0.033203125,-0.04029398784041405,0.5280548930168152,0.0002539170382078737,1057.0,0.00017828527779784054
1053,99.24579167366028,77184,1763260168.7824707,,,0.0002372097223997116,0.5199646949768066,-0.0032622013241052628,0.0,-0.002799518406391144,0.5525969862937927,0.00025376342819072306,1057.0,0.003957899287343025
1058,99.6943724155426,77696,1763260169.2310514,,,0.00016888510435819626,0.6627792119979858,-0.0012798523530364037,0.0,0.00015957653522491455,0.5557075142860413,0.0002534562081564218,1057.0,0.0028456433210521936
1083,101.68934512138367,79872,1763260171.2260242,,,2.5541521608829498e-05,0.0005173087120056152,-0.0005015665665268898,0.0,0.0007456652820110321,0.5273105502128601,0.0002521505521144718,1058.0,1966.1600341796875
1091,102.40572762489319,80640,1763260171.9424067,,,0.0005822302773594856,0.0001856684684753418,0.0026105092838406563,0.0,0.0017640013247728348,0.6026135683059692,0.00025168972206301987,1058.0,921.6934204101562
1106,103.57533359527588,81920,1763260173.1120126,,,0.0012410236522555351,-0.0024639368057250977,0.010303308255970478,0.0,-0.008139438927173615,0.564545750617981,0.00025092167197726667,1059.0,0.04074990749359131
1118,104.62594699859619,83072,1763260174.162626,,,0.002702256664633751,-0.00023865699768066406,0.010225577279925346,0.0,0.02744743786752224,0.5261939167976379,0.0002502304269000888,1059.0,281.5928649902344
1125,105.19062781333923,83712,1763260174.7273068,,,0.00043330807238817215,0.00016605854034423828,0.006507239304482937,0.0,-0.001611117273569107,0.5639586448669434,0.0002498464018572122,1060.0,826.25
1133,105.70986413955688,84295,1763260175.2465432,93.0,93.0,,,,,,,,,
1145,106.84604382514954,85504,1763260176.3827229,,,0.0027477657422423363,-0.00832366943359375,0.00013836752623319626,0.0,0.017466988414525986,0.5624600052833557,0.0002487711317371577,1060.0,0.0027065009344369173
1164,108.60814070701599,87424,1763260178.1448197,,,0.0008477931842207909,-0.3304471969604492,-0.00080838892608881,0.0,0.004893995821475983,0.5207539796829224,0.0002476190566085279,1061.0,0.001273769186809659
1165,108.7178430557251,87552,1763260178.254522,,,0.00044366903603076935,-0.1847832202911377,-0.005655977874994278,0.0,-0.012151949107646942,0.5321193933486938,0.0002475422515999526,1061.0,0.0002474810171406716
1172,109.2847900390625,88192,1763260178.821469,,,0.0007361695170402527,-9.071826934814453e-05,-0.007625667378306389,0.0,-8.258968591690063e-05,0.4818897843360901,0.000247158226557076,1061.0,1227.2327880859375
1181,110.14437365531921,89105,1763260179.6810527,500.0,500.0,,,,,,,,,
1186,110.58983588218689,89605,1763260180.126515,500.0,500.0,,,,,,,,,
1197,111.6326003074646,90752,1763260181.1692793,,,0.0035275351256132126,0.0002906918525695801,-0.0036883987486362457,0.005859375,0.01295381784439087,0.5542765855789185,0.00024562212638556957,1062.0,0.006362736225128174
1213,113.15878677368164,92416,1763260182.6954658,,,0.003345959819853306,0.3377841114997864,0.01661526784300804,0.01171875,-0.006300421431660652,0.5249605774879456,0.0002446236612740904,1063.0,0.0010888329707086086
1215,113.29317998886108,92605,1763260182.829859,500.0,500.0,,,,,,,,,
1226,114.32539916038513,93696,1763260183.8620782,,,0.0001542307436466217,0.0005189180374145508,-0.008006475865840912,0.0,-0.001024540513753891,0.5139011740684509,0.0002438556111883372,1063.0,979.903564453125
1230,114.67288494110107,94105,1763260184.209564,500.0,500.0,,,,,,,,,
1234,115.14364075660706,94592,1763260184.6803198,,,0.006047440692782402,0.13727086782455444,0.0499197393655777,0.001953125,-0.00955105945467949,0.5557795166969299,0.00024331797612830997,1063.0,0.0002649947127792984
1245,115.9728524684906,95488,1763260185.5095315,,,0.0034568272531032562,0.12238651514053345,-0.02084296941757202,0.00390625,-0.007741373032331467,0.4827031195163727,0.00024278034106828272,1064.0,0.054520316421985626
1254,116.65219235420227,96257,1763260186.1888714,35.0,35.0,,,,,,,,,
1271,118.22957682609558,98010,1763260187.7662559,316.0,316.0,,,,,,,,,
1299,120.53320288658142,100480,1763260190.069882,,,0.0031164754182100296,-0.06248605251312256,0.011210732161998749,0.0,-0.011766741052269936,0.5088510513305664,0.00023978494573384523,1065.0,0.0012342599220573902
1339,124.16149139404297,104556,1763260193.6981704,500.0,500.0,,,,,,,,,
1340,124.2701804637909,104576,1763260193.8068595,,,0.0005451207980513573,-9.894371032714844e-06,0.002549205906689167,0.0,-0.009350910782814026,0.4264126121997833,0.00023732718545943499,1066.0,1813.5048828125
1349,125.09243535995483,105556,1763260194.6291144,500.0,500.0,,,,,,,,,
1363,126.48066735267639,107008,1763260196.0173464,,,0.00026241783052682877,0.09785544872283936,0.009492614306509495,0.0,-0.0006455443799495697,0.5015488862991333,0.0002358678902965039,1067.0,0.0002226898359367624
1365,126.59535217285156,107136,1763260196.1320312,,,0.000973767600953579,-0.0001862049102783203,-0.0117088807746768,0.0,0.005894066765904427,0.4495861232280731,0.00023579108528792858,1067.0,1006.6206665039062
1370,127.04349064826965,107648,1763260196.5801697,,,0.0005744611844420433,0.0008410215377807617,0.0035360893234610558,0.0,0.0031137466430664062,0.4972418546676636,0.0002354838652536273,1067.0,844.2640991210938
1380,127.97816777229309,108672,1763260197.5148468,,,9.738747030496597e-05,-3.6716461181640625e-05,8.146371692419052e-05,0.0,-0.000695105642080307,0.5174930691719055,0.00023486942518502474,1068.0,544.8309936523438
1381,128.0903971195221,108800,1763260197.6270761,,,0.0028486093506217003,-0.6845904588699341,0.00018527451902627945,0.001953125,-0.039219655096530914,0.42982906103134155,0.00023479262017644942,1068.0,0.007357217371463776
1388,128.80179166793823,109568,1763260198.3384707,,,0.0005595572292804718,0.0003020763397216797,0.005035337060689926,0.0,-0.0014877542853355408,0.47187894582748413,0.0002343317901249975,1068.0,2156.06103515625
1395,129.5070767402649,110336,1763260199.0437558,,,0.0034504132345318794,-2.6239304542541504,0.00023439060896635056,0.001953125,-0.015855707228183746,0.5303433537483215,0.0002338709746254608,1068.0,0.002163105644285679
1399,129.8466238975525,110720,1763260199.383303,,,8.474290370941162e-05,0.21150970458984375,0.0011456198990345001,0.0,-0.0018584467470645905,0.43664872646331787,0.00023364055959973484,1068.0,0.0038502654060721397
