losses/entropy,charts/episodic_return,losses/explained_variance,charts/learning_rate,losses/old_approx_kl,losses/value_loss,_runtime,losses/policy_loss,_timestamp,losses/approx_kl,losses/clipfrac,global_step,charts/episodic_length,_step,charts/SPS
0.5554828643798828,,0.002345263957977295,0.00011382488446542993,0.0015294915065169334,1087.93017578125,412.19402503967285,-0.0009065568447113037,1763260490.735165,7.054302841424942e-05,0.0,310400,,3272,821.0
0.4783598780632019,,-0.962112307548523,0.00011359446943970397,0.001845862716436386,0.0007991925231181085,412.54604482650757,-0.003930516541004181,1763260491.087185,0.0004202909767627716,0.0,310784,,3275,822.0
,500.0,,,,,412.6137104034424,,1763260491.1548505,,,310849,500.0,3276,
,500.0,,,,,414.4801330566406,,1763260493.0212731,,,312849,500.0,3296,
0.539810061454773,,0.2989776134490967,0.00011213517427677289,-0.005864355713129044,0.0006205578101798892,414.8456747531891,-0.003307679668068886,1763260493.3868148,0.0005263034254312515,0.0,313216,,3299,823.0
0.5609002709388733,,0.03490805625915527,0.00010975422628689557,0.0029571624472737312,0.0013726329198107123,418.54692673683167,-0.007702905684709549,1763260497.0880668,0.0005356883630156517,0.0,317184,,3338,825.0
0.5029851198196411,,0.0007070302963256836,0.00010898617620114237,-0.002831222489476204,416.1177673339844,419.7355492115021,-0.0032722875475883484,1763260498.2766893,0.000140434131026268,0.0,318464,,3351,826.0
0.5076756477355957,,-0.09735333919525146,0.00010860215115826577,0.0003193868324160576,0.0008929297910071909,420.3451302051544,0.0010164864361286163,1763260498.8862703,1.8180347979068756e-05,0.0,319104,,3357,826.0
0.4899651110172272,,0.0007768869400024414,0.00010844854114111513,-0.004016461782157421,1863.4176025390625,420.57593870162964,0.0026713497936725616,1763260499.1170788,0.00024235527962446213,0.0,319360,,3360,827.0
0.5144025683403015,,0.4130743145942688,0.0001060675858752802,-0.001787017099559307,0.000393806432839483,424.29845929145813,-0.00012086518108844757,1763260502.8395994,2.848636358976364e-05,0.0,323328,,3398,829.0
0.569614827632904,,0.6742967963218689,0.00010591397585812956,0.00150282122194767,0.0022827787324786186,424.53053545951843,-0.005770072340965271,1763260503.0716755,0.0001967456191778183,0.0,323584,,3401,829.0
0.5525490641593933,,0.15770649909973145,0.00010560675582382828,0.0013414770364761353,0.003584297839552164,425.0177962779999,0.003379901871085167,1763260503.5589364,0.000708799809217453,0.0,324096,,3406,829.0
0.5096505880355835,,-1.2398550510406494,0.00010552995081525296,-0.007156969979405403,0.0008780879434198141,425.1362233161926,0.002598315477371216,1763260503.6773634,0.0009355992078781128,0.0,324224,,3407,829.0
