losses/entropy,losses/policy_loss,losses/value_loss,_runtime,charts/episodic_return,losses/explained_variance,losses/old_approx_kl,_timestamp,charts/episodic_length,_step,charts/SPS,charts/learning_rate,losses/approx_kl,losses/clipfrac,global_step
0.5450330972671509,0.0007760785520076752,1042.2828369140625,265.4893262386322,,0.0005806684494018555,0.004690021276473999,1763260344.0251122,,1886,740.0,0.0001974654442165047,5.171075463294983e-05,0.0,171008
,,,266.58548164367676,500.0,,,1763260345.1212676,500.0,1895,,,,,171943
0.5582578778266907,-0.013981692492961884,0.0012993280543014407,267.68778252601624,,0.04371851682662964,-0.0004961853846907616,1763260346.2235684,,1903,740.0,0.0001963901740964502,0.0009923437610268593,0.0,172800
0.5095590353012085,0.005479305982589722,559.2830200195312,268.0070607662201,,0.0006204843521118164,-0.0006574150174856186,1763260346.5428467,,1906,740.0,0.00019623656407929957,0.000571494922041893,0.0,173056
0.5161299109458923,-0.003061257302761078,0.0005706733791157603,269.2695276737213,,-0.6055777072906494,-0.003494083881378174,1763260347.8053136,,1918,742.0,0.00019546851399354637,0.0011288262903690338,0.0,174336
0.5474624037742615,0.004511889070272446,1432.362548828125,269.41335129737854,,0.0005844831466674805,-0.0023015346378087997,1763260347.9491372,,1920,742.0,0.00019539170898497105,0.000353323295712471,0.0,174464
0.5323829650878906,-0.0012639723718166351,0.012905812822282314,271.6045718193054,,0.14018666744232178,-0.00035694800317287445,1763260350.1403577,,1945,745.0,0.00019393241382203996,6.29909336566925e-05,0.0,176896
0.5673907995223999,-0.002381976693868637,1194.3447265625,272.9636070728302,,0.00032776594161987305,0.0007686708122491837,1763260351.499393,,1959,747.0,0.00019308755872771144,0.00034024566411972046,0.0,178304
,,,274.7316279411316,500.0,,,1763260353.2674139,500.0,1973,,,,,179722
0.5727397203445435,0.0043500568717718124,0.0015152791747823358,276.2297718524933,,-0.07921671867370605,0.0021200720220804214,1763260354.7655578,,1985,748.0,0.00019147465354762971,0.00044522061944007874,0.0,180992
0.5676713585853577,-0.0001177564263343811,0.0002838560030795634,276.98393416404724,,-0.05574774742126465,-0.011620447039604187,1763260355.51972,,1991,748.0,0.0001910906285047531,0.000977868214249611,0.0,181632
,,,278.1896302700043,500.0,,,1763260356.7254162,500.0,2002,,,,,182722
,,,278.64542722702026,500.0,,,1763260357.1812131,500.0,2007,,,,,183222
0.550886332988739,0.001982633024454117,0.00048799754586070776,279.574746131897,,0.1233026385307312,0.0007031690329313278,1763260358.110532,,2016,751.0,0.0001895545283332467,0.00041890889406204224,0.0,184192
0.5143229365348816,-0.0005899965763092041,0.008077098056674004,279.80261397361755,,-0.3104809522628784,0.0013400046154856682,1763260358.3384,,2019,751.0,0.00018940091831609607,0.0002804538235068321,0.0,184448
