charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl,charts/episodic_length,_timestamp,charts/episodic_return,losses/entropy,_runtime,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac,losses/approx_kl
0.0002708909451030195,0.3402731418609619,572.0,0.01754840277135372,,1763260197.9137454,,0.5850883722305298,119.36964535713196,-0.01536046713590622,48640,684,28.417400360107422,0.0,0.0006271116435527802
0.0002705837250687182,0.016437113285064697,573.0,-0.001491369679570198,,1763260198.652845,,0.5625147819519043,120.10874485969543,0.005872994661331177,49152,689,42.04903793334961,0.0,0.00012919679284095764
,,,,344.0,1763260199.853156,344.0,,121.30905604362488,,50002,698,,,
,,,,328.0,1763260200.4025655,328.0,,121.85846543312073,,50330,702,,,
,,,,500.0,1763260201.1288772,500.0,,122.58477711677551,,50830,707,,,
,,,,500.0,1763260204.1718814,500.0,,125.6277813911438,,52915,729,,,
0.00026666666963137686,0.016323983669281006,584.0,7.855705916881561e-05,,1763260208.1918666,,0.5557880997657776,129.6477665901184,-0.0023495331406593323,55680,757,14.995161056518555,0.0,3.594532608985901e-05
0.0002663594495970756,-0.004678249359130859,585.0,0.0012910421937704086,,1763260208.8909044,,0.5247107744216919,130.34680438041687,-0.004803096409887075,56192,762,14.832537651062012,0.0,0.0002445932477712631
0.0002661290345713496,0.0034470558166503906,586.0,0.00012926384806632996,,1763260209.44151,,0.5597771406173706,130.89740991592407,-0.0006570704281330109,56576,767,963.4990234375,0.0,9.570270776748657e-06
,,,,500.0,1763260210.476385,500.0,,131.9322850704193,,57447,775,,,
0.0002649001544341445,-0.027182817459106445,590.0,0.0007384279742836952,,1763260212.2022548,,0.5888147354125977,133.65815472602844,0.0002789534628391266,58624,788,12.61253833770752,0.0,3.5567209124565125e-06
0.0002644393243826926,-0.012349486351013184,592.0,-0.005025826394557953,,1763260213.25692,,0.5752376317977905,134.7128200531006,-0.00336495041847229,59392,797,1301.687255859375,0.0,0.0007963497191667557
0.00026390168932266533,0.05743908882141113,593.0,0.0028877872973680496,,1763260214.4721801,,0.5751184225082397,135.9280800819397,-0.0037113651633262634,60288,806,793.2909545898438,0.0,0.0001715291291475296
0.0002633640542626381,-0.23756814002990723,595.0,0.00027721747756004333,,1763260215.662521,,0.49508368968963623,137.1184208393097,-0.00022339820861816406,61184,815,7.630332946777344,0.0,0.00011331215500831604
0.0002607526839710772,0.17278021574020386,602.0,-0.00028416234999895096,,1763260221.731013,,0.5367763042449951,143.18691301345825,-0.0006122328341007233,65536,863,3.226661205291748,0.0,6.000511348247528e-06
,,,,162.0,1763260222.698375,162.0,,144.15427494049072,,66228,872,,,
0.0002600614388938993,-0.01800668239593506,603.0,-0.012006562203168869,,1763260223.3463159,,0.5606851577758789,144.80221581459045,-0.001496627926826477,66688,876,2.185298442840576,0.0,0.00047443434596061707
0.0002572964585851878,-0.33492934703826904,610.0,0.025608740746974945,,1763260229.6992607,,0.6004897356033325,151.15516066551208,-0.01660306751728058,71296,922,0.04531462863087654,0.0234375,0.0032159285619854927
0.00025683562853373587,0.0876765251159668,611.0,0.014678876847028732,,1763260230.7572787,,0.5172489285469055,152.21317863464355,-0.004173636436462402,72064,930,1164.3291015625,0.001953125,0.0029280129820108414
0.00025629799347370863,-5.375942707061768,614.0,0.02292625978589058,,1763260231.7256582,,0.49242085218429565,153.18155813217163,-0.002799415960907936,72960,938,114.69947814941406,0.0546875,0.0030849995091557503
0.000256144383456558,0.389268696308136,614.0,0.0024533281102776527,,1763260232.0125256,,0.544480562210083,153.46842551231384,-0.017222538590431213,73216,941,4.500043869018555,0.0,0.0026783058419823647
0.00025606757844798267,-19.430404663085938,615.0,0.03618510439991951,,1763260232.1733072,,0.4842730760574341,153.62920713424683,0.0027555041015148163,73344,942,55.30262756347656,0.02734375,0.010361782275140285
0.00025568355340510607,0.6925190687179565,616.0,-0.0019435305148363113,,1763260233.0301456,,0.5058327913284302,154.48604559898376,-0.01524503156542778,73984,948,0.11523880064487457,0.0,0.0045467559248209
0.00025414745323359966,0.04333376884460449,619.0,0.001228860579431057,,1763260236.4983237,,0.46151962876319885,157.9542236328125,-0.00789264589548111,76544,974,883.4063110351562,0.00390625,0.0017766980454325676
0.00025376342819072306,-0.1513124704360962,620.0,0.009374049492180347,,1763260237.3342013,,0.39445430040359497,158.79010128974915,-0.030219294130802155,77184,980,0.013633733615279198,0.0,0.00251885037869215
0.0002534562081564218,-0.461383581161499,621.0,-0.0020106546580791473,,1763260238.0211492,,0.3978792428970337,159.47704911231995,-0.0018670819699764252,77696,985,0.003968803212046623,0.0,0.00013161823153495789
0.0002528417680878192,-0.06466901302337646,622.0,-0.010070810094475746,,1763260239.3656263,,0.44144490361213684,160.8215262889862,0.004030484706163406,78720,995,0.0032153672073036432,0.0,0.0006145797669887543
,,,,500.0,1763260239.575049,500.0,,161.0309488773346,,78957,997,,,
0.00025161291705444455,-0.23343443870544434,625.0,-0.0024787532165646553,,1763260242.1121278,,0.39459022879600525,163.56802773475647,-0.006363311782479286,80768,1015,0.0009951856918632984,0.0,0.00047126319259405136
0.00025130569702014327,0.09023416042327881,625.0,0.0364874042570591,,1763260242.8193157,,0.4210708439350128,164.27521562576294,-0.02861464023590088,81280,1020,0.0026896444614976645,0.00390625,0.004430350847542286
0.0002506144519429654,0.030566275119781494,628.0,0.0031245239078998566,,1763260244.1088727,,0.536261260509491,165.564772605896,-0.008844636380672455,82432,1031,0.00020989649055991322,0.0,0.0007480494678020477
0.0002494623768143356,0.07043081521987915,630.0,-0.002704857848584652,,1763260246.656872,,0.5321049690246582,168.11277198791504,-0.004136413335800171,84352,1050,0.0002648971858434379,0.0,0.0007686587050557137
0.00024930876679718494,0.004883408546447754,631.0,0.002512124367058277,,1763260247.0145197,,0.5125676989555359,168.47041964530945,-0.00047239288687705994,84608,1053,0.006579389329999685,0.0,0.0003308327868580818
0.00024900154676288366,0.17785924673080444,631.0,0.006764900870621204,,1763260247.7060225,,0.5355231165885925,169.16192245483398,-0.0005132630467414856,85120,1058,0.0049110837280750275,0.0,0.0002437131479382515
