_step,_timestamp,losses/entropy,charts/episodic_length,charts/learning_rate,charts/SPS,losses/value_loss,losses/explained_variance,_runtime,charts/episodic_return,losses/approx_kl,losses/clipfrac,global_step,losses/old_approx_kl,losses/policy_loss
1612,1763260227.336187,0.5539071559906006,,0.00021958525758236647,1087.0,0.002220619935542345,-0.256679892539978,149.42656087875366,,0.008216490969061852,0.01953125,134144,-0.015358278527855873,-0.02552776038646698
1626,1763260228.5917363,0.46732091903686523,,0.00021874040248803794,1087.0,0.013892301358282566,0.13836604356765747,150.68211030960083,,0.002801215276122093,0.001953125,135552,0.005839293822646141,0.009248360991477966
1638,1763260229.7370458,0.5963848829269409,,0.00021797235240228474,1087.0,0.0006419334677048028,-0.19641375541687012,151.82741975784302,,0.0001932866871356964,0.0,136832,0.0025051403790712357,-0.0006407313048839569
1687,1763260234.2556424,0.43716228008270264,,0.00021497695706784725,1088.0,0.0008826585253700614,-0.40958237648010254,156.34601640701294,,0.0024302061647176743,0.005859375,141824,-0.004560772329568863,-0.0029525235295295715
1732,1763260238.3137257,,500.0,,,,,160.40409970283508,500.0,,,146370,,
1745,1763260239.574446,0.4866044819355011,,0.00021144392667338252,1089.0,0.002845429815351963,-1.018644094467163,161.6648199558258,,0.0005583865568041801,0.0,147712,-0.0005964646115899086,0.006033256649971008
1753,1763260240.248083,0.44874081015586853,,0.0002109830966219306,1089.0,1049.28076171875,-0.00016605854034423828,162.33845710754395,,0.0004152590408921242,0.0,148480,0.0024789730086922646,-0.008207052946090698
1754,1763260240.359331,0.4603825807571411,,0.00021090629161335528,1089.0,0.008214273490011692,0.06619483232498169,162.4497048854828,,0.0009449729695916176,0.0,148608,0.0030097821727395058,0.0019401460886001587
1765,1763260241.386991,0.42882126569747925,,0.0002102150465361774,1089.0,0.00047456473112106323,0.19013071060180664,163.47736501693726,,0.000826522707939148,0.0,149760,0.016543490812182426,-9.220093488693237e-06
1768,1763260241.6394293,0.42388176918029785,,0.00021006145107094198,1089.0,0.010410628281533718,0.12870824337005615,163.72980332374573,,0.00026777759194374084,0.0,150016,-0.002996359020471573,-0.001872047781944275
1777,1763260242.4240901,0.46417897939682007,,0.00020952381601091474,1089.0,1731.2708740234375,0.0003838539123535156,164.51446413993835,,0.0003302916884422302,0.0,150912,0.008476894348859787,0.002071782946586609
1818,1763260246.1152015,,500.0,,,,,168.205575466156,500.0,,,155024,,
