global_step,losses/old_approx_kl,charts/learning_rate,losses/clipfrac,losses/policy_loss,_step,charts/episodic_length,losses/approx_kl,_runtime,charts/SPS,losses/value_loss,_timestamp,losses/entropy,losses/explained_variance,charts/episodic_return
105728,0.0008712597191333771,0.0002366359403822571,0.0,0.002837810665369034,1339,,0.0001048799604177475,232.79832935333252,509.0,936.7026977539062,1763260308.9523573,0.45862850546836853,-3.814697265625e-06,
105856,0.0034131286665797234,0.00023655913537368178,0.0,-0.0031880736351013184,1340,,5.413312464952469e-05,232.93831038475037,509.0,0.005790896248072386,1763260309.0923383,0.4841788113117218,-0.03890526294708252,
106752,0.00021923892199993134,0.00023602150031365454,0.0,0.0028171800076961517,1349,,0.0010133273899555206,233.97796368598938,511.0,671.8941040039062,1763260310.1319916,0.4275025427341461,-0.00013458728790283203,
108160,-0.0007958831265568733,0.00023517664521932602,0.0,-0.002196192741394043,1363,,0.0003466745838522911,235.74467015266418,513.0,1757.027587890625,1763260311.898698,0.44135358929634094,0.000559389591217041,
108416,-0.01941768266260624,0.00023502303520217538,0.001953125,-0.015970513224601746,1365,,0.0052779437974095345,236.0224573612213,514.0,0.0013931540306657553,1763260312.1764853,0.4192381501197815,0.2766440510749817,
108928,-0.002371702343225479,0.0002347158151678741,0.005859375,-0.010155098512768745,1370,,0.002293124794960022,236.55873107910156,515.0,0.001836865209043026,1763260312.712759,0.3872580826282501,-0.12265670299530029,
109952,0.002951347269117832,0.00023410138965118676,0.0,0.002271987497806549,1380,,0.0005265502259135246,237.70049810409546,517.0,0.0009384825825691223,1763260313.854526,0.30296745896339417,-0.10313582420349121,
110080,-0.0021447744220495224,0.00023402458464261144,0.0,-0.0019858628511428833,1381,,6.965361535549164e-05,237.8124852180481,517.0,0.0001349266094621271,1763260313.9665132,0.37947940826416016,0.332089364528656,
110720,0.0003264565020799637,0.00023364055959973484,0.0,0.0011792145669460297,1388,,0.0001042727380990982,238.5660741329193,519.0,1070.0350341796875,1763260314.720102,0.3076082766056061,0.0002728700637817383,
111488,-0.022145932540297508,0.00023317972954828292,0.013671875,-0.008178558200597763,1395,,0.004848118871450424,239.37948417663574,520.0,0.0019495482556521893,1763260315.533512,0.43744462728500366,0.3673798441886902,
111872,0.0022022053599357605,0.00023294931452255696,0.0,-0.006732122972607613,1399,,0.0007906872779130936,239.81892037391663,521.0,0.003000306896865368,1763260315.9729483,0.4067477881908417,0.5499526262283325,
112512,0.008793924003839493,0.00023256528947968036,0.0,0.005133744329214096,1405,,0.00026543252170085907,240.64326977729797,522.0,0.0005956939421594143,1763260316.7972977,0.40152111649513245,0.4246397614479065,
115328,-0.0020394371822476387,0.00023087557929102331,0.0,0.0050305575132369995,1432,,0.00018578488379716873,245.47265005111694,523.0,0.005648104939609766,1763260321.626678,0.4150145947933197,-0.041068315505981445,
115456,-0.0116951959207654,0.000230798774282448,0.0,0.005935534834861755,1433,,0.0018520625308156013,245.68742895126343,523.0,0.0012436439283192158,1763260321.841457,0.4075651168823242,0.09009528160095215,
117640,,,,,1455,500.0,,249.37844514846802,,,1763260325.532473,,,500.0
117760,-0.00337147805839777,0.00022941628412809223,0.0,0.0008528660982847214,1456,,0.00028133299201726913,249.5831913948059,525.0,135.122314453125,1763260325.7372193,0.41744616627693176,0.0001220703125,
117888,-0.005697263404726982,0.0002293394791195169,0.0,-0.0018669795244932175,1457,,0.0008448511362075806,249.77182173728943,525.0,0.007836300879716873,1763260325.9258497,0.4032699167728424,-0.11319804191589355,
123648,0.00012501049786806107,0.0002258832537336275,0.0,0.0007933080196380615,1514,,0.00013879593461751938,257.82052636146545,531.0,1874.337646484375,1763260333.9745543,0.45922577381134033,0.0010911822319030762,
124416,-0.002564823254942894,0.00022542242368217558,0.0,-0.004969954490661621,1521,,0.00015974417328834534,258.66939520835876,533.0,0.002436227397993207,1763260334.8234231,0.4711243510246277,0.0037584900856018066,
124800,0.0006568264216184616,0.00022519200865644962,0.0,-0.007402261719107628,1525,,0.00046788156032562256,259.0955502986908,533.0,0.005702724680304527,1763260335.2495782,0.5038086771965027,-0.11386251449584961,
125056,0.00016608741134405136,0.00022503839863929898,0.0,-0.00034165382385253906,1527,,7.840897887945175e-05,259.37109088897705,534.0,0.0002642792242113501,1763260335.5251188,0.5223253965377808,-0.694390058517456,
125184,-0.0010166000574827194,0.00022496159363072366,0.0,-0.004142656922340393,1529,,0.00022797472774982452,259.5375726222992,534.0,1466.3284912109375,1763260335.6916006,0.473114937543869,-4.8160552978515625e-05,
125696,-0.0015399344265460968,0.00022465437359642237,0.0,0.00012848898768424988,1534,,0.0006334073841571808,260.09365153312683,535.0,1320.1016845703125,1763260336.2476795,0.445374459028244,0.00018215179443359375,
125952,-0.0029617445543408394,0.00022450076357927173,0.0,4.456378519535065e-05,1536,,6.179418414831161e-05,260.3923718929291,535.0,0.0014768113614991307,1763260336.5463998,0.48227882385253906,-0.041806578636169434,
126605,,,,,1543,500.0,,261.1131570339203,,,1763260337.267185,,,500.0
126848,0.0011586789041757584,0.0002239631285192445,0.0,0.0027758441865444183,1545,,0.00046338699758052826,261.37947249412537,537.0,0.008976935409009457,1763260337.5335004,0.4549073874950409,-0.0499570369720459,
126976,-0.006599395535886288,0.00022388632351066917,0.0,-0.002561025321483612,1546,,0.0004820851609110832,261.49916076660156,537.0,0.0014364337548613548,1763260337.6531887,0.45998984575271606,-0.42195868492126465,
128128,-0.005067545920610428,0.0002231950784334913,0.0,-0.0029786676168441772,1558,,0.00035990960896015167,262.7514760494232,539.0,2028.6795654296875,1763260338.905504,0.45736175775527954,0.005690038204193115,
128256,0.0008286489173769951,0.00022311827342491597,0.0,-0.0011760685592889786,1559,,3.4819357097148895e-05,262.8781147003174,539.0,0.009616757743060589,1763260339.0321426,0.4318057596683502,-0.13239812850952148,
128640,0.005267196334898472,0.00022288785839919,0.0,-0.006912805140018463,1563,,0.000491599552333355,263.553763628006,539.0,2161.081787109375,1763260339.7077916,0.38139817118644714,0.005321621894836426,
